name;categories;lat;lng;subcity;Unnamed: 0;City
EDEKA Lemberg;Supermarket;51.41864505;7.08046577;Überruhr-Holthausen, Essen;;Essen
Lidl;Supermarket;51.4226999;7.073792200000001;Überruhr-Holthausen, Essen;;Essen
Pepe Foto Video Studio;Photography Studio;51.4192293;7.0743488000000525;Überruhr-Holthausen, Essen;;Essen
H. Schäfer Heizung - Sanitär GmbH;Construction & Landscaping;51.416924;7.0754399999999995;Überruhr-Holthausen, Essen;;Essen
Sattmachergrill;Greek Restaurant;51.428434033777606;7.0769548416137695;Überruhr-Hinsel, Essen;;Essen
Förster;Bakery;51.429665;7.076525;Überruhr-Hinsel, Essen;;Essen
Deutsche Bank SB-Stelle;ATM;51.42967155421821;7.075686242310552;Überruhr-Hinsel, Essen;;Essen
Sattmacher Grill;BBQ Joint;51.428345040958604;7.076836521910258;Überruhr-Hinsel, Essen;;Essen
Kaltschmidt GmbH Sanitärtechnik;Construction & Landscaping;51.426296;7.0817;Überruhr-Hinsel, Essen;;Essen
Landhaus Zündorf;Food;50.869607269534036;7.043106731107226;Zündorf, Köln;;Köln
EDEKA Hein;Supermarket;50.86656075;7.04252539;Zündorf, Köln;;Köln
Groov Terrasse;German Restaurant;50.86986503608848;7.043399421581851;Zündorf, Köln;;Köln
REWE;Supermarket;50.8679631820348;7.04482558475604;Zündorf, Köln;;Köln
H Zündorf Kirche;Bus Stop;50.866313;7.041727000000001;Zündorf, Köln;;Köln
Minigolfanlage Porz-Zündorf;Mini Golf;50.869105655825386;7.041835642794063;Zündorf, Köln;;Köln
Geli's Eiscafe;Ice Cream Shop;50.86924512141146;7.0425576254110265;Zündorf, Köln;;Köln
Kombibad Zündorf;Pool;50.865428044539634;7.037478454836345;Zündorf, Köln;;Köln
Pastis Bacchus;French Restaurant;50.869426000000004;7.042578;Zündorf, Köln;;Köln
H Zündorf;Tram Station;50.8661156918789;7.048995442338519;Zündorf, Köln;;Köln
Zum St.Martin;Greek Restaurant;50.86340186709672;7.03721878389396;Zündorf, Köln;;Köln
RISTORANTE MANGIA!;Gastropub;48.83226949048722;9.167467768148107;Zuffenhausen, Stuttgart;;Stuttgart
dm-drogerie markt;Drugstore;48.832476888860796;9.168281469896556;Zuffenhausen, Stuttgart;;Stuttgart
Asia-Imbiss VAN;Chinese Restaurant;48.832077000000005;9.172754;Zuffenhausen, Stuttgart;;Stuttgart
Climbmax;Climbing Gym;48.834532665605096;9.163544674417864;Zuffenhausen, Stuttgart;;Stuttgart
La Mekan Zuffenhausen - Shisha Lounge;Hookah Bar;48.83111919745637;9.160691638209158;Zuffenhausen, Stuttgart;;Stuttgart
Bäckerei Konditorei Siegel;Bakery;48.832077364374705;9.171924614578574;Zuffenhausen, Stuttgart;;Stuttgart
Burger.Place;Burger Joint;48.829101;9.164964999999999;Zuffenhausen, Stuttgart;;Stuttgart
Kirchtal;Restaurant;48.833580017089844;9.170272827148438;Zuffenhausen, Stuttgart;;Stuttgart
Eis Olivier;Ice Cream Shop;48.83162336196646;9.174003216010453;Zuffenhausen, Stuttgart;;Stuttgart
Rossmann;Drugstore;48.83273030503927;9.173787526011317;Zuffenhausen, Stuttgart;;Stuttgart
Aslan Kebab Haus;Kebab Restaurant;48.83004332360054;9.168044733657165;Zuffenhausen, Stuttgart;;Stuttgart
REWE;Supermarket;48.830542;9.168066699999999;Zuffenhausen, Stuttgart;;Stuttgart
Busbahnhof Zuffenhausen;Bus Station;48.82961272599756;9.168380496551617;Zuffenhausen, Stuttgart;;Stuttgart
U Kirchtalstraße (Volksbank Zuffenhausen);Metro Station;48.83229462454661;9.169957637786863;Zuffenhausen, Stuttgart;;Stuttgart
Pho à la mama;Vietnamese Restaurant;48.828262;9.166749000000001;Zuffenhausen, Stuttgart;;Stuttgart
Yazgülü;Grocery Store;48.830798;9.161022;Zuffenhausen, Stuttgart;;Stuttgart
Höninger;Restaurant;50.91303844585693;6.94080690118825;Zollstock, Köln;;Köln
Star Grill;Eastern European Restaurant;50.911300013028345;6.941382146671603;Zollstock, Köln;;Köln
Refugium;Pub;50.9126169378101;6.94579703202672;Zollstock, Köln;;Köln
Zollhof;Modern European Restaurant;50.91305047305281;6.941514015197754;Zollstock, Köln;;Köln
dm-drogerie markt;Drugstore;50.91222523938443;6.940628574170432;Zollstock, Köln;;Köln
Yummy Town;Chinese Restaurant;50.908752337636614;6.9412822261889495;Zollstock, Köln;;Köln
Pizza Corleone;Pizza Place;50.90792434026269;6.945313083385852;Zollstock, Köln;;Köln
Deutsche Bank;ATM;50.9120394342974;6.941177422701799;Zollstock, Köln;;Köln
Rossmann;Drugstore;50.913211;6.946173;Zollstock, Köln;;Köln
China Imbiss Wei Wei;Chinese Restaurant;50.91098262044146;6.940936881938255;Zollstock, Köln;;Köln
Lidl;Supermarket;50.91402878157792;6.941519379615784;Zollstock, Köln;;Köln
Eiscafé Orchidea;Ice Cream Shop;50.909652868519494;6.9415515661239615;Zollstock, Köln;;Köln
H Gottesweg;Tram Station;50.9099685029628;6.941439894713037;Zollstock, Köln;;Köln
Bäckerei Heinemann;Bakery;50.91124047353491;6.9413960535377495;Zollstock, Köln;;Köln
DEE NA Thai Massage & Wellness;Spa;50.91071834611135;6.941986083984375;Zollstock, Köln;;Köln
Bäckerei Middelberg;Bakery;50.91325209788269;6.9419945126994405;Zollstock, Köln;;Köln
Mrs. Sporty;Gym / Fitness Center;50.91306913215986;6.944503819096725;Zollstock, Köln;;Köln
ALDI SÜD;Supermarket;50.913066828405775;6.945180775729308;Zollstock, Köln;;Köln
H Bernkasteler Straße;Bus Stop;50.90668631512553;6.937394142150879;Zollstock, Köln;;Köln
H Zollstockgürtel;Tram Station;50.905467745650256;6.942052875823612;Zollstock, Köln;;Köln
SweatnDance;Athletics & Sports;50.91317373095231;6.937024656504022;Zollstock, Köln;;Köln
Anwar Grillhähnchen;Food Truck;50.90623649971159;6.937541660171847;Zollstock, Köln;;Köln
Schrebers;German Restaurant;51.33929724644586;12.357093674345546;Zentrum-West, Leipzig;;Leipzig
Johannapark;Park;51.33491517996538;12.363202571868895;Zentrum-West, Leipzig;;Leipzig
Tamers;Doner Restaurant;51.341943;12.359098;Zentrum-West, Leipzig;;Leipzig
Konsum;Supermarket;51.33575907304344;12.35918291241408;Zentrum-West, Leipzig;;Leipzig
SUBWAY;Sandwich Place;51.341812;12.358756;Zentrum-West, Leipzig;;Leipzig
Friedenspark;Park;51.32765;12.394825;Zentrum-Südost, Leipzig;;Leipzig
