name;categories;lat;lng
Eppendorfer Moor;Nature Preserve;53.61331497068441;10.002277050624514
REWE;Supermarket;53.6076472;10.005769
Best Western Premier Alsterkrug Hotel;Hotel;53.61308027653405;9.999036652778614
Eiskaffee Eis Perle;Ice Cream Shop;53.608354075112125;10.009393749713743
Braband;Café;53.613329689387285;10.002280887148505
Restaurant Alexandros;Greek Restaurant;53.607778;10.007662
H Alsterdorfer Damm;Bus Stop;53.6132787006377;10.00225851868278
Dammbrücke;Bridge;53.613285346882535;10.002271847799033
Alsterufer;Park;53.61329428466996;10.00226094125458
Vu Asia Bistro;Asian Restaurant;53.61331431303652;10.002273294115657
Zoo-Markt Alsterdorf GmbH;Pet Store;53.61331275434732;10.002265606295008
DAS FUTTERHAUS;Pet Store;53.613377854242614;10.002400806951629
FuLu Restaurant;Asian Restaurant;53.60736846923828;10.005505561828613
Alster Studio;Gym / Fitness Center;53.61141801469487;10.009527938908164
Hamburger Sparkasse;Bank;53.60798095915998;10.00805696270709
H Carl-Cohn-Straße;Bus Stop;53.606906559715235;10.00512032137404
Konditorei Fastert;Bakery;53.6084194616123;10.00954827247975
H Brabandstraße;Bus Stop;53.613266306447635;10.008909970774493
Happy Vietnam;Vietnamese Restaurant;53.60790703880482;10.009555513247982
Appartello;Hotel;53.61448730668124;10.00049620105768
