name;categories;lat;lng
Der Holländer;Garden Center;52.49198096604755;13.459415955433435
ELSE;Nightclub;52.49520452011272;13.462636773349086
"Hafenräucherei Treptow ""Löcknitz""";Seafood Restaurant;52.49399089608705;13.463444709777832
Molecule Man;Outdoor Sculpture;52.497;13.459093
Tapas No. 6;Tapas Restaurant;52.49013271724425;13.456731572320841
real;Big Box Store;52.49100375312046;13.457566056315581
Zimt & Mehl Manufaktur;Café;52.49043405267648;13.456163414896569
Rossmann;Drugstore;52.49085868491015;13.456793115366926
Asia Snack;Snack Place;52.49079116971657;13.456958965952934
Da Gelo;Italian Restaurant;52.49214713766075;13.45830518892306
BackWerk;Bakery;52.49377589;13.45968159
Fitness am Park;Gym / Fitness Center;52.49125661202373;13.45736336986708
Café Bäckerei Sesam;Bakery;52.492883721791095;13.460402277154218
Saturn;Electronics Store;52.490684;13.457361
T.viet;Vietnamese Restaurant;52.49029022056749;13.455825045080122
Asia Palast im Cinestar;Chinese Restaurant;52.49210908524852;13.458575886874584
Asia Wok am Bahnhof;Asian Restaurant;52.49298095703125;13.46031665802002
Café Muca;Café;52.494115991932695;13.460524077816048
Elsen Döner;Doner Restaurant;52.492493;13.45821
H S Treptower Park;Bus Stop;52.494143095604336;13.460790854511318
Cuccis;Sandwich Place;52.494124;13.461523
Berliner Sparkasse;Bank;52.49105391606384;13.457137594913553
H Beermannstraße;Bus Stop;52.49084226574793;13.456857204437256
Deichmann;Shoe Store;52.4907917;13.45684425
Monsieur Crêpes;Dessert Shop;52.49347585261836;13.46469725179532
Veracruz;Mexican Restaurant;52.49043246165933;13.45621620180846
Anlegestelle Hafen Treptow;Pier;52.4936151555131;13.464644659976843
