name;categories;lat;lng
Restaurant Herkules;Greek Restaurant;51.340752570415106;12.332837130647832
olea;Mediterranean Restaurant;51.33662654046121;12.336112709284494
Palmengarten;Park;51.33691747671292;12.338924261538576
PEKAR;Italian Restaurant;51.336647;12.3329115
dm-drogerie markt;Drugstore;51.33739097512658;12.334580278468707
Theater der Jungen Welt;Theater;51.33764462011285;12.333725956154375
Lindenauer Markt;Plaza;51.33710039819408;12.334308903511442
Kaufland;Big Box Store;51.33687388721504;12.335776923544998
Konsum;Supermarket;51.338453;12.335404
SV Lindenau 1848 e.V.;Athletics & Sports;51.34108637578706;12.332346113031855
H Lindenauer Markt;Tram Station;51.33758625652202;12.333821654319763
Sternenbäck;Bakery;51.33733045541876;12.335587321227987
