name;categories;lat;lng
Sait Köz;Turkish Restaurant;53.55142984227786;9.946825896842185
dm-drogerie markt;Drugstore;53.551502;9.943762
Altonaer Turnverband (ATV);Sports Club;53.54892093669775;9.949058993857928
Ali Baba;Doner Restaurant;53.551995;9.94168
IKEA;Furniture / Home Store;53.55174509921777;9.941327501572681
First Stage Theater;Performing Arts Venue;53.55233341707228;9.948753118515015
TK Maxx;Clothing Store;53.5514804656631;9.938934265286413
EDEKA;Supermarket;53.5514995;9.9437523
denn's Biomarkt;Organic Grocery;53.5517972162978;9.942934482374108
El Pikosito;Mexican Restaurant;53.547806;9.94171
Jim Block;Burger Joint;53.55166292931424;9.939198980361475
Bergtags;Café;53.551741;9.94326
Claus Kröger;Gourmet Shop;53.551686548145774;9.940739774372775
Altona City Market;Grocery Store;53.55183938246083;9.940827234250312
Vapiano;Italian Restaurant;53.55184969;9.939612
The Lesser Panda Ramen;Ramen Restaurant;53.552028;9.940382
Taverna Priamos;Taverna;53.552979;9.947944
macro computersysteme;Electronics Store;53.55170987945555;9.94296333212337
Kingdom Of Sports;Gym / Fitness Center;53.55155859619493;9.943458821722274
Lidl;Supermarket;53.55348134534617;9.94420603798004
Bäckerei Allaf;Bakery;53.55161575581675;9.944737761876677
Dallmeyers Backhus;Bakery;53.551619;9.943782
Hook Dogs;Hot Dog Joint;53.55166996150767;9.939418206246312
Filippi Eisdiele;Ice Cream Shop;53.55186816100357;9.942232048327316
Budnikowsky;Drugstore;53.55161977363556;9.93858282693294
Backwaren Knüppel;Bakery;53.553697588664406;9.948654112555072
