name;categories;lat;lng
Anno 1905;German Restaurant;53.561045;9.947982
Macaibo;Venezuelan Restaurant;53.560376;9.948465
Aalhaus;Bar;53.559399142071506;9.946953251787459
Quatsch Comedy Club;Comedy Club;53.56254926821268;9.948993474039156
Stage Theater Neue Flora;Theater;53.56266;9.94972
Tibet;Asian Restaurant;53.55846805172985;9.939434700720389
Blaue Blume;German Restaurant;53.55970680077474;9.93978132881298
Juice Club;Nightclub;53.56292228693525;9.944665431976318
Shankra Quick;Indian Restaurant;53.56030728056864;9.948345824983734
EDEKA Sven Anders;Supermarket;53.55900363801654;9.950079352813617
Food Truck Market;Street Food Gathering;53.56410586751409;9.940271957949214
Feuervogel Altona;Restaurant;53.55937244084653;9.948987893954614
Monsieur Alfon's;French Restaurant;53.561559153651;9.948051210303388
Holsten-Brauerei;Brewery;53.561765529731275;9.944920978876887
REWE;Supermarket;53.558556;9.950085
Stage Club;Nightclub;53.56248946351753;9.948919464705343
Restaurant Breitengrad;Sri Lankan Restaurant;53.5639057665144;9.95047945644804
Holstenb‰ckerei;Bakery;53.5611251000866;9.946867972869379
B‰ckerei Holstenstraﬂe;Bakery;53.56114100973776;9.946857401312263
Holstenplatz;Park;53.56149979653745;9.94816950155453
H Holstenstraﬂe;Bus Stop;53.5619051378952;9.948186044884547
Polizeisporthalle;Athletics & Sports;53.559553823946054;9.942635495032237
Free Shop;Convenience Store;53.561641;9.948478
Fes;CafÈ;53.56263159809604;9.948626649864584
Kaltenkircher Platz;Plaza;53.56369336659548;9.942440840171173
H Kaltenkircher Platz;Bus Stop;53.5635484879687;9.941446048112345
Futonia;Furniture / Home Store;53.56341895611175;9.94071850012477
Harkortstraﬂe 125;Nightclub;53.56024344046159;9.939033405386866
Elb-Laufstrecke;Trail;53.56136070176882;9.938541497669428
H Max-Brauer-Allee;Bus Stop;53.558660569009824;9.94906156451744
El Abrazo;Dance Studio;53.56047526027781;9.938549995422363
Bertha-von-Suttner-Park;Park;53.560229514264975;9.9507812038064
Packstation 104;Shipping Store;53.56474657382952;9.941576240723313
GHOTEL hotel & living Hamburg Altona;Hotel;53.564709980380044;9.940862019731842
