name;categories;lat;lng
Rösterei VIER;Coffee Shop;51.2259403326246;6.77229423124051
Casita Mexicana;Mexican Restaurant;51.22667595657295;6.775478313848207
Bar Chérie;Bar;51.22688575573609;6.772423969578811
Rösterei VIER;Coffee Shop;51.22453580793739;6.773703152622268
Marktplatz;Plaza;51.22580218652285;6.772154305014243
Elephant Bar;Cocktail Bar;51.226851117516176;6.772635564857534
Brauerei Kürzer;Brewery;51.226973302442296;6.773422923701495
Uerige;Brewery;51.22509973234009;6.7723058742430755
Eis-Café Pia;Ice Cream Shop;51.224925;6.775671
Ham-Ham;BBQ Joint;51.226893966146996;6.772957671789372
Em Pöötzke;Jazz Club;51.226611900559924;6.773679155964425
Rheinuferpromenade;Pedestrian Plaza;51.22527547797048;6.7702036453461725
Living Hotel De Medici;Hotel;51.22733822533441;6.774459324697091
Block House;Steakhouse;51.22681820320808;6.772182517353227
Gut & Gerne Schokolade;Café;51.22636611908027;6.772138556257657
Pizzeria Lupo;Pizza Place;51.226422501015875;6.775603777299227
Bäckerei Hinkel;Bakery;51.22394768045429;6.774250776633675
Markt am Carlsplatz;Farmers Market;51.22368479867202;6.773209328018992
