name;categories;lat;lng
Cibo;Doner Restaurant;48.129566948007955;11.592311363301565
True&12;Ice Cream Shop;48.131239;11.589725
Orient Shop;Gourmet Shop;48.1295001244239;11.592593827841197
Wirtshaus in der Au;German Restaurant;48.128968;11.58647
Manam Thai Food;Thai Restaurant;48.12967863731238;11.591968506181729
Showroom;Modern European Restaurant;48.130449788064496;11.587524240895865
Dal Cavaliere;Italian Restaurant;48.128693;11.594771
Chopan - am Gasteig;Afghan Restaurant;48.131513;11.588731
Philharmonie;Concert Hall;48.131796;11.590691
White Rabbit's Room;Café;48.126911;11.593047
Pizzesco;Pizza Place;48.13148792470339;11.589700607767776
Gasteig Kulturzentrum;Cultural Center;48.13120813325616;11.591534495848737
Weißenburger Platz;Plaza;48.126770035625746;11.59452950311318
Museum Lichtspiele;Movie Theater;48.13115817120077;11.587572581096493
Rosi Kaffeehaus & Bar;Restaurant;48.13134728;11.58802968
Atelier Gourmet;French Restaurant;48.12710333040378;11.592498382461175
Motel One München-Deutsches Museum;Hotel;48.127955533803856;11.588646977847633
Carl-Orff-Saal;Concert Hall;48.13123092682223;11.5908502715422
Café Blá;Coffee Shop;48.12924045464761;11.58653784642127
Mitani;Japanese Restaurant;48.12680641446012;11.593930315884437
Bombay Tandoori;Indian Restaurant;48.12780336925669;11.595254217270467
Müller'sches Volksbad;Pool;48.132377448764174;11.588408946990967
Spicery;Thai Restaurant;48.128138;11.59589
ZEN Panasiatische Cuisine;Theme Restaurant;48.131523;11.588689
L'Osteria;Trattoria/Osteria;48.1324593773959;11.590949495609806
IDEAL Espresso Bar;Coffee Shop;48.128518;11.595179
Ampere;Rock Club;48.13281424059394;11.589471101760862
Muffathalle;Music Venue;48.13307166686882;11.589564569819789
Bella Italia;Italian Restaurant;48.12852288741937;11.594208959910633
Der Sizilianer;Italian Restaurant;48.12617274816494;11.595191088976925
Cafe Noel;Bistro;48.1289865491426;11.596864535992212
Chez Fritz Brasserie;French Restaurant;48.132124183207075;11.594570125215908
Muffathalle Biergarten;Beer Garden;48.13286497644354;11.58908081759047
Cafe Konditorei Wölfl;Pastry Shop;48.13105036007614;11.593834414328551
Teatro Tapas;Tapas Restaurant;48.12636219926552;11.59525384835218
BLITZ Restaurant;Vegetarian / Vegan Restaurant;48.131407184767376;11.5858393907547
Lollo Rosso BAR varian GRILL;German Restaurant;48.13103768294616;11.59450454167514
Kulturstrand;Beach Bar;48.13221277422281;11.586412687605483
