name;categories;lat;lng
Kabuki;Japanese Restaurant;50.109034837022676;8.670183015624227
City Kiosk Yok-Yok;Convenience Store;50.10755331918962;8.668509708635826
Saravanaa Bhavan;Indian Restaurant;50.10815979993023;8.666834235191345
Alim's Fisch Imbiss;Seafood Restaurant;50.1075717412314;8.668539808641802
Der Fette Bulle;Burger Joint;50.107692;8.666418
Plank;Bar;50.107657;8.668648
Lam Frères;Vietnamese Restaurant;50.10810615694838;8.670092923656206
Istanbul Fisch Grill;Seafood Restaurant;50.10773437393767;8.669441196524987
eatDOORI;Indian Restaurant;50.10841;8.668881
Selera Malaysian Restaurant;Malay Restaurant;50.10706852147912;8.666491321542344
Akmal;Indian Restaurant;50.1079656507696;8.668584196448442
COA - Asian food;Asian Restaurant;50.10808456697142;8.666420024233247
Indian Chilli;Indian Restaurant;50.10831100409323;8.669959172727305
KAISER Zeit Kaiser Biobäckerei;Bakery;50.10836325547043;8.668340502771
The Kinly Bar;Speakeasy;50.10884;8.667739
Good Guys;Burger Joint;50.108476355394416;8.668392410521264
Pho Ngon;Vietnamese Restaurant;50.107575;8.667395
AMP;Bar;50.1091685440766;8.672193719471117
Club Michel;Modern European Restaurant;50.10818258880777;8.6708671908189
Aloha Poke;Restaurant;50.1087724;8.66909221
