name;categories;lat;lng
Taverna Kamiros;Taverna;53.597766687646654;10.042677607140572
Spaccaforno;Italian Restaurant;53.599068;10.0418625
Orchideen-Palast Chin. Spezialitätenrestaurant;Chinese Restaurant;53.59673205748255;10.043198297658085
Taormina;Italian Restaurant;53.59608214330943;10.043349913607067
H Langenfort;Bus Stop;53.598887210880044;10.050374721528128
Spielplatz Langenfort;Playground;53.60100989351498;10.050435623888836
Wendebecken;Park;53.598709827091895;10.054479491017771
Peter's Grill;Fast Food Restaurant;53.595864;10.04351465
K&M Computer;Electronics Store;53.600043;10.041458
Sushi Nanami;Sushi Restaurant;53.60070442553273;10.041232594265226
