name;categories;lat;lng
Fuchs;Pub;51.1642339628359;6.872286480064942
La Corte Espressobar;Café;51.16394831020055;6.873563903244585
YOMARO Frozen Yogurt;Frozen Yogurt Shop;51.16360290073083;6.873831590233047
Schloss Benrath;Palace;51.161677793001246;6.870489120483398
REWE;Supermarket;51.16256832301459;6.874241822090198
dm-drogerie markt;Drugstore;51.163815;6.874266
Eis-Café am Schloss;Ice Cream Shop;51.16348641220969;6.871129985594134
Palmenhaus;Greek Restaurant;51.16303178364641;6.873350163060341
Schlosscafé Benrath;Café;51.163477;6.872511
Deutsche Bank;Bank;51.162450394937736;6.873309198164975
Sparkassen-Eissporthalle;Hockey Rink;51.16392121283249;6.879599466855334
Cafe Ballon;Café;51.1637553746249;6.8727301992843035
Ruthis Café & Bistro;Café;51.161718;6.874536
Benrather Marktplatz;Plaza;51.16138330061758;6.87436716900177
McDonald's;Fast Food Restaurant;51.16218517656202;6.878373040710281
Gleis 3/4;Platform;51.162174;6.878863
Gleis 1/2;Platform;51.16226784847132;6.879057216566482
