name;categories;lat;lng
Marienplatz;Plaza;48.1371253550687;11.5754829819069
Fischbrunnen;Fountain;48.13721054807242;11.57604728180553
Alois Dallmayr;Gourmet Shop;48.13855416294957;11.576749895722832
Viktualienmarkt;Farmers Market;48.13529613214196;11.576367768074439
Kustermann;Department Store;48.13624185951994;11.57489743951907
St. Peter;Church;48.13653033744336;11.575615102948722
mymuesli Laden;Organic Grocery;48.13535742016771;11.576714414351619
Galeria Gourmet;Gourmet Shop;48.13743238817685;11.573216827217955
Andechser am Dom;Bavarian Restaurant;48.138302;11.573778
Kilians Irish Pub;Irish Pub;48.13871994658476;11.574555957384717
Biergarten am Viktualienmarkt;Beer Garden;48.1351936744121;11.576364766282014
Hugendubel;Bookstore;48.137111650306366;11.575544782889482
La Burrita;Burrito Place;48.136143;11.574489
Chocolaterie Beluga;Café;48.135749958121224;11.575775742530823
Rindermarkt;Plaza;48.13609857914366;11.573914758665321
KONEN;Clothing Store;48.135988897495956;11.573053777439032
ZWICKL Gastlichkeit am Viktualienmarkt;German Restaurant;48.135239996292604;11.577249325837808
Fisch Witte;Fish Market;48.13499942195012;11.577124967645538
Manufactum;Department Store;48.138775642303514;11.577317676699028
Restaurant Dallmayr;German Restaurant;48.138488808282744;11.576791294028093
Sporthaus Schuster;Sporting Goods Shop;48.136869;11.574596
CrêpeFruit;Creperie;48.138478;11.576857
Sweet Spot;Coffee Shop;48.135765;11.577575
BAR ALPINA im Schuster;Coffee Shop;48.136362;11.574146
Kaffeerösterei Viktualienmarkt;Coffee Shop;48.13466483623243;11.576274633407591
Sababa;Falafel Restaurant;48.13474777433371;11.577250105813546
Hirmer;Men's Store;48.138023229321696;11.572046157913082
Nürnberger Bratwurst Glöckl am Dom;Bavarian Restaurant;48.13819109417412;11.574165237107081
Schneider Bräuhaus;Bavarian Restaurant;48.136378;11.578446
Augustiner Klosterwirt;German Restaurant;48.138649448058345;11.572527009723416
Louis Hotel;Hotel;48.135791572859645;11.575963345877847
Caspar Plautz;Snack Place;48.134683;11.576058
Apple Rosenstraße;Electronics Store;48.136843;11.574534
Ludwig Beck;Department Store;48.137457903384544;11.576582138634045
Dallmayr Bar & Grill;Seafood Restaurant;48.13833010449944;11.57697264854396
Schmalznudel - Café Frischhut;Café;48.13485770889897;11.57478317963125
Venchi Gelato;Ice Cream Shop;48.134563;11.574657
Grano;Pizza Place;48.13508968068958;11.573764998764588
Elly Seidl;Candy Store;48.13941018983618;11.575511915288066
Tian;Vegetarian / Vegan Restaurant;48.134471281616335;11.575988337894875
Louis Vuitton München Residenzpost;Boutique;48.1392483;11.5776474
LUX Restaurant & Bar;Restaurant;48.137192629910224;11.578747037199207
Kunsthalle München;Art Museum;48.1399667000461;11.575919702004619
Due Passi;Italian Restaurant;48.13719399325003;11.578709453109179
Ratskeller;Bavarian Restaurant;48.137582782767645;11.576336940296818
NORDSEE;Seafood Restaurant;48.13526508544485;11.576558561119665
Bar Centrale;Café;48.136821;11.579873
Leger am Dom;Restaurant;48.138262321999065;11.572932468978577
SEPHORA;Cosmetics Shop;48.137341;11.57434
Burberry;Boutique;48.1398056;11.5765944
L'Aperitivo;Bar;48.13498559244115;11.577630453683796
Bite Delite;Café;48.13999643231038;11.57507175739173
Cortiina Hotel;Hotel;48.136804;11.57945
Zum Goldenen Kalb;Steakhouse;48.13447561436798;11.575174146799045
Schumann's Tagesbar;Café;48.139579333504926;11.574971944393578
Mariannenplatz;Plaza;48.13627288440493;11.578204119359045
Münchner Suppenküche;Soup Place;48.134759509833636;11.576290299514346
COS;Clothing Store;48.13778974270443;11.5749876946682
LODENFREY München am Dom;Clothing Store;48.13951472220955;11.574043332628872
Luigino's Feinkost;Sandwich Place;48.13458446640428;11.576376207123353
Cole & Porter Tagesbar;Café;48.134634;11.574334
Hans im Glück - Burgergrill;Burger Joint;48.13598372737342;11.578337670552287
Massimo Dutti;Clothing Store;48.13977291957329;11.575955142520465
La Piazza;Italian Restaurant;48.134408;11.574506
Grapes Weinbar;Wine Bar;48.13693029664695;11.57939128902689
Schenk's frischgepresste Säfte;Juice Bar;48.13475278801831;11.576493714924183
Eataly;Food Court;48.13446101526066;11.574517537869522
Max-Joseph-Platz;Plaza;48.13981660939763;11.577886082977775
Bayerische Staatsoper;Opera House;48.139639167418856;11.578933024720754
Madam Strip Club;Strip Club;48.136821274207485;11.57963879406452
Baricentro;Italian Restaurant;48.13455682485334;11.573834223461475
Augustiner Straßenausschank;Food Stand;48.13823484028985;11.574184924756992
Kleinschmecker;German Restaurant;48.134659170093826;11.573565235533085
Tiffany & Co.;Jewelry Store;48.1397295;11.5771842
Wir Machen Cupcakes;Cupcake Shop;48.13382604172554;11.575904442407115
Kaufingerstraße;Pedestrian Plaza;48.13765263397313;11.57329684727621
Nationaltheater München;Opera House;48.139599002217864;11.579207038303139
Mandarin Oriental Munich;Hotel;48.1375384;11.5808394
Les Deux;Restaurant;48.13935737316302;11.574615899371215
Fünf Höfe;Shopping Mall;48.14015749153649;11.575260843998763
Café Glockenspiel;Café;48.136999;11.575051
Der Pschorr;Bavarian Restaurant;48.13482271913493;11.575121283531189
The Victorian House am Viktualienmarkt;English Restaurant;48.13427;11.577563
El Gaucho;Argentinian Restaurant;48.13451230952982;11.577663602938813
Zum Spöckmeier;German Restaurant;48.13677278279106;11.574078206843117
SuperdryStore.;Clothing Store;48.136162291702156;11.57247848490715
Augustiner am Dom;Bavarian Restaurant;48.13818157175851;11.57400961528765
OhJulia,;Italian Restaurant;48.136359090681054;11.571843027974488
Am Platzl;Plaza;48.13794674909772;11.58001603107073
ARAN Fünf Höfe;Café;48.1407145021652;11.576498919834604
Derag Livinghotel Am Viktualienmarkt;Hotel;48.13421847172378;11.575501470895166
Pusser's;Cocktail Bar;48.1385001084952;11.58042637623221
Kaut-Bullinger;Paper / Office Supplies Store;48.13661596574225;11.573818990810553
Hofbräuhaus;Bavarian Restaurant;48.13747954411829;11.580080766955437
PomadeShop;Cosmetics Shop;48.13416206150253;11.574659199219926
Nespresso Boutique;Coffee Shop;48.14021674035373;11.57630631781633
Soda. Bücher und Magazine.;Bookstore;48.13328702311629;11.575602049295162
Frauenplatz;Plaza;48.13865948858289;11.572638109781144
Cafe Fräulein;Café;48.1344872375267;11.578151713593467
Wirtshaus zum Straubinger;Bavarian Restaurant;48.13376;11.574418
