name;categories;lat;lng
Ponton Op'n Bulln;Seafood Restaurant;53.555916;9.805281
Kaffeegarten Schuldt;Café;53.55880949494344;9.801465612162016
Elbstrand Blankenese;Beach;53.55797710788743;9.796972274780273
Treppenviertel Blankenese;Neighborhood;53.5579954702838;9.809088860777328
Leuchtturm Unterfeuer Blankenese;Lighthouse;53.558097110643274;9.795807398178745
Seven Seas;French Restaurant;53.559443423731125;9.801006867126425
Süllberg Hotel;Hotel;53.55949798429108;9.80099495937034
Zum Bäcker;Restaurant;53.5580619965604;9.797915892212249
Fischclub Blankenese;Seafood Restaurant;53.556041204245915;9.804523490338898
Sagebiels Fährhaus;Restaurant;53.55739070113708;9.805502393620888
Strandhotel Blankenese;Hotel;53.55635151064999;9.80812984314097
Bistro Süllbergterrassen;Snack Place;53.55933717082286;9.801220633060208
Ahrberg;Seafood Restaurant;53.556799753631324;9.804565934709728
Treppenkrämer;Café;53.557908;9.802905
Almhütte Süllberg;Bavarian Restaurant;53.559326110577615;9.801299030166936
Elbspaziergang;Beach;53.55680272812226;9.80484666009728
Fähranleger Blankenese;Pier;53.55597002598878;9.804760272463355
Op'n Bulln;Harbor / Marina;53.55597593042994;9.80480432510376
