name;categories;lat;lng
Kochhaus;Gourmet Shop;50.1223597391076;8.646052479743958
Ponte;Portuguese Restaurant;50.122648305016725;8.646720030396148
Radio-X;Radio Station;50.12199207615486;8.64361546195374
Palu Grill Haus;Turkish Restaurant;50.12165439752821;8.64780415012145
Prime Time Fitness;Gym / Fitness Center;50.12157014910742;8.649630948831872
Kröger´s Brötchen;Bakery;50.1227;8.64583
Hake Cafe Im Hinterhof;Arts & Crafts Store;50.121690750071146;8.646721913063242
Bistro Hong Kong;Café;50.12136912768504;8.648243821240532
da Cimino;Pizza Place;50.119496052268346;8.645681618479712
Lhamo Bistro;Asian Restaurant;50.1239013671875;8.641922950744629
Brühmarkt;Café;50.12019045879249;8.64962322088915
Kish Restaurant;Persian Restaurant;50.12112611688485;8.64915059829413
T.Style;Japanese Restaurant;50.11926998880042;8.644979996772884
La Tabla Rasa;Spanish Restaurant;50.123883;8.645267
Alnatura;Organic Grocery;50.121082706485836;8.647708528425312
