name;categories;lat;lng
Vistro;Vegetarian / Vegan Restaurant;53.61514663696289;10.076010704040527
Einstein;Café;53.6206410539333;10.081858888572928
Schweinske;German Restaurant;53.616455366904006;10.077422349305467
Kaufland;Supermarket;53.612711498204874;10.078611944097318
GZeiten;Bar;53.617629164042924;10.078560597488398
Bramfelder Dorfplatz;Plaza;53.61406075880024;10.076351165771484
SUNPOINT Solarium Hamburg;Tanning Salon;53.61690000000001;10.07691
Bäckerei Rohlfs;Bakery;53.61790019766196;10.078979176644154
Budnikowsky;Pharmacy;53.616394240986;10.076938912429693
ALDI NORD;Supermarket;53.61834838787617;10.08218163565977
H Berner Chaussee;Bus Stop;53.61919058527559;10.080651673137819
Tjadens Bio Frischemarkt;Grocery Store;53.61948475070775;10.080997040402961
Hartfelder;Toy / Game Store;53.61413479511128;10.075946463742651
Bäckerei Rohlfs;Bakery;53.61399792598674;10.075991207106547
Hamburger Sparkasse;Bank;53.61375498355123;10.07542709977988
