name;categories;lat;lng
TEMMA;Organic Grocery;50.93700235035782;6.900717337864141
Gaffel im Marienbild;German Restaurant;50.93725634264584;6.89537365890381
Lannathai;Thai Restaurant;50.93710386615928;6.9015497741568375
Gelati Eiscafé;Ice Cream Shop;50.93722819464371;6.897850883474743
Kölsche Art;German Restaurant;50.937071;6.892933
Vino Spaghetti;Gourmet Shop;50.93737153005043;6.892493932760914
Tre Cime;Ice Cream Shop;50.937324656714026;6.895711770725993
Schmitz & Nittenwilm;Bakery;50.937271554620246;6.894710977639475
Bento Box;Sushi Restaurant;50.93744287072188;6.892923204670461
Rossmann;Drugstore;50.93725776095058;6.89889708628724
HIT-Markt;Supermarket;50.9382297286893;6.9013340365290965
Bäckerei Ecke;Bakery;50.93716394755967;6.899252344383912
Köski Royal;Coffee Shop;50.936881;6.900393
Deutsche Bank;Bank;50.93745780232353;6.899803320849401
Braunsfeld - frisch und lecker Essen;Italian Restaurant;50.937107311305304;6.897676757630663
Markt im Stadtwald;Market;50.933455;6.900762
Kieser Training;Gym / Fitness Center;50.93844326;6.90467813
