name;categories;lat;lng
REWE City;Supermarket;50.9450446;7.077148
Rossmann;Drugstore;50.94521962322493;7.0748156632514165
Aral;Gas Station;50.94680178;7.08507539
"Weinhaus ""Zur Alten Schule""";German Restaurant;50.945603484193576;7.078569531440735
Brauhaus em Hähnche;Beer Garden;50.94593125642428;7.080066435057077
Meti Thai;Thai Restaurant;50.94725165208581;7.080043056453143
Bäckerei Schneider;Bakery;50.94499;7.076652
Trattoria La Vecchia;Trattoria/Osteria;50.94496282399975;7.075799803244509
Schreibwaren Gillessen;Paper / Office Supplies Store;50.945438942449066;7.0749266889186595
H Brück Mauspfad;Tram Station;50.94878326013698;7.078512416469336
Stayincologne;Bed & Breakfast;50.94547056819929;7.074304268399469
Netto Filiale;Supermarket;50.94642195;7.07342192
H Flehbachstraße;Tram Station;50.94779107251352;7.073410900147898
