name;categories;lat;lng
Trattoria Rathaus Piazza;Trattoria/Osteria;52.51677774365783;13.308748105084467
Zur Mieze - Katzenmusikcafé;Pet Café;52.515899;13.304765
Deutsche Oper Berlin;Opera House;52.5120878812058;13.308354020118713
Rogacki;Gourmet Shop;52.51283919402255;13.305050087951296
Postbank Finanzcenter;Bank;52.51582073254157;13.31240764661771
Alt-Lietzow Platz;Plaza;52.51681495986897;13.314436948623596
Falafel, Schawarma & Halloumi;Falafel Restaurant;52.5125145470448;13.305099464337676
Ristorante Papageno;Italian Restaurant;52.513535;13.307118
Lindner;Gourmet Shop;52.513159519507646;13.3049422249805
Exclusive Coffee;Café;52.513408849631595;13.305343609541598
Genki Sushi;Sushi Restaurant;52.514541264691175;13.304827067886682
Wilhelm Hoeck 1892;Pub;52.513985;13.305006
China-Restaurant Lotos House;Chinese Restaurant;52.51217276469756;13.31218957901001
Do Long;Vietnamese Restaurant;52.51334149348079;13.304938355614079
Curry Station 36;Fast Food Restaurant;52.514946338401884;13.315115281199617
China Bistro Tu Long;Chinese Restaurant;52.51427226517844;13.316556744914106
Rosati;Italian Restaurant;52.51144145538995;13.307747840881348
Leonardo Hotel Berlin;Hotel;52.51279180739886;13.30476432567244
Ninhao China Restaurant;Chinese Restaurant;52.51197911443559;13.311966386801304
Taverna Elena;Taverna;52.51496883578349;13.302944800342402
Rossmann;Drugstore;52.51666745168685;13.309558079119974
Crispy Döner;Doner Restaurant;52.512;13.307591
Hutzelmann - die Schlesische Backstube;Bakery;52.51528069348672;13.304572105407715
Pizza Napoli;Pizza Place;52.513252443593636;13.30490534828626
Bat Viet;Asian Restaurant;52.51236864905278;13.30495834350586
EDEKA Otto-Suhr-Allee;Supermarket;52.51693406;13.3071315
Steinofen Pizza;Pizza Place;52.51240857946598;13.305084132506853
Café con amore;Café;52.51571905790991;13.3028089578205
Hit Ullrich;Supermarket;52.5134960962386;13.304762239755654
Chishkhan;Middle Eastern Restaurant;52.51663246113734;13.30657828839896
Stadtbad Charlottenburg - Neue Halle;Pool;52.5158111955018;13.3123661896745
REWE City;Supermarket;52.51149410622222;13.309624661822227
Don Giovanni;Italian Restaurant;52.51193821855951;13.311147016054875
M & M Back;Bakery;52.5125326690963;13.305005104808941
Königliche Hof-Apotheke;Pharmacy;52.5158288453883;13.312442415373242
U Bismarckstraße;Metro Station;52.515821404848516;13.312384752523899
Ibis Styles Berlin an der Oper;Hotel;52.51168041752415;13.312214648584813
