name;categories;lat;lng
Dolce & Vita;Italian Restaurant;50.976179628857935;7.072619031722845
Kamps;Bakery;50.97568054488973;7.0734911717437745
Brauhaus Dellbrück;German Restaurant;50.97445758226144;7.075097024840241
dm-drogerie markt;Drugstore;50.976105;7.07338
Alte Metzgerei;Burger Joint;50.977935;7.068472
REWE;Supermarket;50.97626573666705;7.073235177909851
Cafe-Bistro Caprici;Café;50.97491046124384;7.075127442403059
Wochenmarkt Dellbrück;Farmers Market;50.975651;7.074804
Knippschild Werk 2;Pub;50.97559690475464;7.074750065803528
H Dellbrück Hauptstraße;Tram Station;50.97525088033386;7.0753177275934505
Al Capriccio;Italian Restaurant;50.97526725852906;7.074967361830075
Sushi House Dellbrück;Gastropub;50.974224062122104;7.075023651123047
REWE;Supermarket;50.9721087;7.0735866
Pizza Hot;Pizza Place;50.97820071104323;7.07101395129067
