name;categories;lat;lng
greentrees the juicery;Juice Bar;51.24585109452362;6.790553902430466
FitX;Gym / Fitness Center;51.24643606781204;6.793003281685742
Karl's Restaurant;Restaurant;51.242956314599084;6.7898471870069175
Die Poularde;Fried Chicken Joint;51.24569415363399;6.7901752334688155
KLAMMOTTE Kindersecondhand & Umstandsmode;Kids Store;51.245705;6.790568
Restaurant Spoerl Fabrik;German Restaurant;51.241109881278355;6.792217927089341
Lunitas;Colombian Restaurant;51.244638;6.786038
Gingerboy;Thai Restaurant;51.245481740645744;6.786215408062976
Palace of Kebap;Turkish Restaurant;51.24493517568144;6.7885150105858045
Die Bar in der Spoerlfabrik;Cocktail Bar;51.24106328713039;6.792189829948539
Trinkgut;Liquor Store;51.241351784982854;6.792316281986183
Geistengrill;Fast Food Restaurant;51.24673510779578;6.789128587650821
Baumann's Brauhof;Gastropub;51.244405;6.788312
Rajdarbaar;Indian Restaurant;51.24596761807963;6.790688351662895
ALDI SÜD;Supermarket;51.2435462;6.7856334
Mangold;Restaurant;51.245343443379376;6.78583565497857
Rossmann;Drugstore;51.24447533119246;6.787521088236508
Lidl;Supermarket;51.24734017;6.79685101
Hallo Vietnam;Vietnamese Restaurant;51.24377727838237;6.786550465402142
Metzgerei Kieven;Food;51.24554657143951;6.78968623972065
Stadtsparkasse Düsseldorf;Bank;51.245770579719284;6.789889240954803
"Pizzeria ""da Anna""";Pizza Place;51.24577996093058;6.78986929714559
Markthalle;Convenience Store;51.24296491460642;6.787383556365967
Packstation 105;Shipping Store;51.245357;6.786763
Postbank Finanzcenter;Bank;51.24527492618025;6.7862142370821275
