name;categories;lat;lng
Villa Mathilde;Café;50.9357145001145;6.97447081072782
Gaststätte Lommerzheim;Gastropub;50.93866;6.973919
Deutzer Rheinufer;Pedestrian Plaza;50.935176897255666;6.969451904296875
Saint Louis;Bistro;50.93685548663308;6.974741459347724
denn's Biomarkt;Organic Grocery;50.93682511839358;6.975291767543287
Rheinboulevard;Scenic Lookout;50.93858638825626;6.96838911741181
Diana Ristorante Pizzeria;Pizza Place;50.93654137419194;6.973998822585984
Bäckerei Hütten;Bakery;50.93695185106621;6.977121387178982
bona'me;Middle Eastern Restaurant;50.9370365095502;6.969637132811365
Kaffeebar;Coffee Shop;50.936909653255846;6.973451683695853
PANORAMA KölnTriangle;Scenic Lookout;50.940346205498585;6.971759139983927
Heimisch;Café;50.93676930418698;6.974023266098072
Indian Masala;Indian Restaurant;50.93705814546503;6.976688959382038
Hyatt Regency Cologne;Hotel;50.94045228502279;6.9691554077887155
Mongo's;Mongolian Restaurant;50.940170220743724;6.972355091644143
Antik Brauhaus;German Restaurant;50.9368631014659;6.974377781152725
Regency Club;Lounge;50.94045637920903;6.969070814103277
La Reina;Spanish Restaurant;50.939252418008685;6.976980773457688
Brauhaus ohne Namen;Brewery;50.93498142529919;6.974036665037645
HoteLux;Eastern European Restaurant;50.93885159935096;6.977004468335266
REWE Rahmati;Supermarket;50.936701760509116;6.9747642497090965
Jugendherberge Köln-Deutz;Hostel;50.939116984677966;6.973566599242521
dm-drogerie markt;Drugstore;50.93697875571872;6.974955207777043
Glashaus Restaurant;Restaurant;50.94044112160866;6.969174806602777
Ottoplatz;Plaza;50.94012423287158;6.974478948976176
Vapiano;Italian Restaurant;50.93965;6.97611
Rosenstock;Restaurant;50.93684108890439;6.9711389087768705
Sticky Fingers;Sandwich Place;50.94033697297279;6.96883392327436
Schäl Sick Grill;BBQ Joint;50.93682254990865;6.974476874603043
Haus Zeyen;Steakhouse;50.938238;6.975116
Café Especial;Mexican Restaurant;50.939473;6.975546
BackWerk;Bakery;50.937015;6.976236
Latino Cubana;Cuban Restaurant;50.9391254658296;6.9766294956207275
Bäckerei Hansen;Bakery;50.936953;6.97245
Deutzer Brauhaus;Rhenisch Restaurant;50.940393;6.973751
Arena Grill;BBQ Joint;50.93906634059878;6.9779055997034085
Imbiss Athena;Greek Restaurant;50.93738552766319;6.978061537925644
Sushi-Haus Deutz;Sushi Restaurant;50.939113452593766;6.977460589185501
Restaurant OASIS;Greek Restaurant;50.93756;6.96904
Wiener Feinbäcker Heberer;Bakery;50.94046515257491;6.974339513723571
Eiscafe Candy;Ice Cream Shop;50.93679179001542;6.977993966405698
Eiscafé Coltamai;Ice Cream Shop;50.93589859525608;6.97782522278153
H Deutzer Freiheit;Tram Station;50.93800056381248;6.97142560963634
Penny Pincher;Hostel;50.934822;6.973068
Kölsch Pinte;Restaurant;50.937054;6.968694
Joe Champs;Sports Bar;50.938879;6.978031
Wan Fu Cologne;Martial Arts Dojo;50.93923025702891;6.969881057739258
Packstation 127;Shipping Store;50.94010443064719;6.974046168173088
Puls Fitness Club & Spa;Gym / Fitness Center;50.94008473357402;6.969519581776157
Begonien Suite;Hotel;50.94068488177061;6.97063296847579
Gleis 1/2;Platform;50.94057220044475;6.976269311337942
Gleis 7/8;Platform;50.94104950446683;6.975166721603113
