name;categories;lat;lng
Eat'n'Art;Mediterranean Restaurant;50.13890601436834;8.671511351641875
Sendesaal | Hessischer Rundfunk;Concert Hall;50.13599806262035;8.676080895967615
Dornbusch Kebap Haus;Doner Restaurant;50.136956819157156;8.671282490424893
Rossmann;Drugstore;50.137202156864184;8.671034489491747
Libertos Pizzeria Dick & Doof;Pizza Place;50.14045344956594;8.67659983012498
Brot Und Freunde;Bakery;50.13974;8.674359
Bertramswiese Fussballfeld;Park;50.137855156293426;8.677525520324707
H Kaiser-Sigmund-Straﬂe;Bus Stop;50.14051295946554;8.677528688078342
hr1 | Hessischer Rundfunk;Radio Station;50.13681708949565;8.677435359896233
Dornbusch-Apotheke;Pharmacy;50.1381996;8.6707516
Eberhard-Beckmann-Anlage;Park;50.1362012140268;8.67259244481967
hr-Bistro;Cafeteria;50.13582465141753;8.676613945761664
Welcome Asia Bistro;Asian Restaurant;50.139106297542455;8.669983590745709
JK Entertainment;Hobby Shop;50.13698530174841;8.671030974504635
Pizzeria Bistro Cosi Cosi;Pizza Place;50.136693311284326;8.671399131886224
La Gelateria;Ice Cream Shop;50.139624;8.669633
