name;categories;lat;lng
Dithmarscher Grill;BBQ Joint;53.58033105909571;10.061530488432595
ALDI NORD;Supermarket;53.584607834962995;10.059165705243215
EDEKA Garling;Supermarket;53.58351700165658;10.056856851004094
REWE;Supermarket;53.58189637998091;10.067375926283603
Dulsberg Grünzug;Park;53.58505257957083;10.06747681010392
Dallmeyers Backhus;Bakery;53.58344758869344;10.056783045570961
H Alter Teichweg;Bus Stop;53.58640768257842;10.06462665920757
U Alter Teichweg;Metro Station;53.586725861111745;10.064337403396353
Cem's Backshop;Bakery;53.58668820493121;10.064878071182594
Central Parc - dulli downtown;Park;53.58705386120327;10.063378970630746
