name;categories;lat;lng
caros konditorei und davids café;Café;53.708106473067;10.108156025425808
Duvenstedter Eiscafé;Ice Cream Shop;53.708371548376626;10.10458955794148
LENZ Restaurant;Modern European Restaurant;53.7084435193234;10.105507209398125
Ristorante Italia;Pizza Place;53.707870910908504;10.108220889195882
Lidl;Supermarket;53.70461252084803;10.10416567325592
Rio Grande;Burger Joint;53.70879827877315;10.1060607708832
REWE;Supermarket;53.7036445;10.1045278
Budnikowsky;Pharmacy;53.70471053328044;10.103211350737553
von Allwörden;Bakery;53.708758638897294;10.107311783235271
Heiß auf Eis;Ice Cream Shop;53.708212;10.108632
Sportplatz Duvenstedter SV;Soccer Field;53.709653706621374;10.101329532793562
