name;categories;lat;lng
Café Rossio;Café;53.56740328430189;10.045289297749457
Würfel & Zucker;Bistro;53.568851188940464;10.043567219662219
Taverna Mykonos;Greek Restaurant;53.565304825243444;10.050090110159616
Café Brooks;Café;53.563509231742515;10.042005317367142
Snoopkraam;Café;53.564034;10.042726
Trattoria Italiana;Trattoria/Osteria;53.56741883041274;10.044615568527336
Otto's Eiscafé;Ice Cream Shop;53.56812496018791;10.048673529689719
oroGelato;Ice Cream Shop;53.56667098813727;10.04182349826421
Dat Backhus;Bakery;53.56408483248313;10.042870506806628
Eilbeker Bürgerpark;Park;53.564028156320155;10.049412825267574
