name;categories;lat;lng
Wehberspark;Park;53.57188076511696;9.954750537872314
Alpenkantine;Café;53.575913589410185;9.953172205431356
Vineyard;Wine Bar;53.576152333760845;9.953705964302728
Bäcker Gaues;Bakery;53.576031223145385;9.950936436653135
Greeni;Italian Restaurant;53.57590953539929;9.95343251108365
dm-drogerie markt;Drugstore;53.57566142531176;9.952703104927423
Kim Chi;Korean Restaurant;53.57434212569109;9.950395664867562
EDEKA Niemerszein;Supermarket;53.5759151;9.9540149
Budnikowsky;Pharmacy;53.569204481717996;9.954632011130895
Carlos Coffee;Coffee Shop;53.575509630122355;9.954590583855227
Unnapark;Park;53.575787880012896;9.950022210243205
Kieser Training;Gym / Fitness Center;53.57689790726829;9.950661179759509
Lüders - Buchhandlung & Antiquariat;Bookstore;53.57654431518754;9.951857676416017
Tropea Eis Cafe;Dessert Shop;53.576242606325216;9.951991090972365
Dreißig;Bar;53.57247914220356;9.950682922850872
Heymann Eimsbüttel;Bookstore;53.57671347390274;9.949105643011405
EDEKA Niemerszein;Supermarket;53.57636629;9.95125557
Oster 119 - Die Wurst von Eimsbüttel;Hot Dog Joint;53.57614761785937;9.95202168188716
Café 129;Bakery;53.56876798701621;9.950058303897125
TIGER;Gift Shop;53.57602523055007;9.952705677553084
Budnikowsky;Pharmacy;53.57561718594;9.953795716050196
Deutsche Bank;Bank;53.57610474111022;9.950073897570633
Hansebäcker Junge;Bakery;53.57635739022564;9.949948140400613
La Pergola;Italian Restaurant;53.57592244923794;9.953094173560656
basic Bio Supermarkt;Organic Grocery;53.57616747199539;9.952076550596352
Hamburger Sparkasse;Bank;53.571681152115495;9.95220574865843
Skin Biology Center;Cosmetics Shop;53.57183763193331;9.951306930751258
Rossmann;Drugstore;53.57662759818207;9.951858427353097
Firstbite;Electronics Store;53.576016;9.952892
