name;categories;lat;lng
Fruchthaus Düntas;Fruit & Vegetable Store;53.59132674525783;9.988095760345457
Cornelia Poletto;Mediterranean Restaurant;53.590185652846586;9.98728358569359
Konditorei Lindtner;Dessert Shop;53.5910974965963;9.988052845001219
ÖkoWochenmarkt Eppendorf;Farmers Market;53.59038490097262;9.986671251533256
Sporting Live;Gym;53.58905700356103;9.985068274858746
Brechtmanns Bistro;German Restaurant;53.592849;9.987254
Holthusenbad;Pool;53.58940874360019;9.99042639213184
raw like sushi;Sushi Restaurant;53.592241;9.987248
Schramme 10;Gastropub;53.590898214383564;9.988961905434584
Kochhaus Eppendorf;Food Court;53.590855858205366;9.987674472375815
Kellinghusenpark;Park;53.588550205561454;9.988192319869995
EDEKA Schlemmermarkt;Supermarket;53.5885701;9.9851898
Anita Hass;Boutique;53.588766074377865;9.986456548558095
Otto F. K. Koch;Paper / Office Supplies Store;53.59232712796083;9.988475180237305
Chicago Meatpackers;Diner;53.59249825292608;9.986708397139912
Bäckerei Gaues;Bakery;53.59273583860972;9.988700290584333
TK Maxx;Clothing Store;53.59035646232315;9.986559524835103
Hansebäcker Junge;Bakery;53.58769056088573;9.985020444908152
Tjadens Bio Frischemarkt;Organic Grocery;53.59262681470746;9.985915068087056
Petite Gourmande;Coffee Shop;53.588178403026156;9.985966146032265
Ristorante Pizzeria Mario;Italian Restaurant;53.589742922901365;9.986318785639506
Lecker Bäcker;Bakery;53.594415764429165;9.984933830079012
dm-drogerie markt;Drugstore;53.59244252564484;9.988919309301195
Bistro Italia;Bistro;53.59410956958505;9.98393481661824
EIS Schmidt;Ice Cream Shop;53.59170342581353;9.98803724996067
EntFlammBar;Cocktail Bar;53.5939445196081;9.988842915292267
EDEKA Kraus;Supermarket;53.5925206;9.989005899999999
Alma Hoppes Lustspielhaus;Comedy Club;53.592937495431514;9.993025997556815
Budnikowsky;Drugstore;53.59001777577089;9.98708377523545
Eiszeit;Ice Cream Shop;53.58779607443751;9.985126803454275
Bistro Uno;Bistro;53.587740137557695;9.985035706750082
Marie-Jonas-Platz;Plaza;53.59038174431768;9.986738347085476
Ristorante da Franco;Italian Restaurant;53.59001799009229;9.98709144221021
Rossmann;Drugstore;53.59256058571772;9.98709529917331
Balzac Coffee;Coffee Shop;53.59206874539031;9.988291035077443
Borchers;Gastropub;53.59442526574637;9.987095729973738
Trattoria Campo da Franco;Italian Restaurant;53.59273198206201;9.992371671798598
Lidl;Supermarket;53.5905011;9.9854048
H Julius-Reincke-Stieg;Bus Stop;53.59204801127479;9.983131387521235
Kiss Deli-Shop;Convenience Store;53.58882158020773;9.991411842810889
H Kellinghusenstraße;Bus Stop;53.58871117210728;9.991363098773403
H Krankenhaus Bethanien;Bus Stop;53.59132231242249;9.981582035386166
Taverna Symposion;Taverna;53.59453567154924;9.987640988432052
Il Cantuccio;Italian Restaurant;53.58685489820238;9.984662532806396
Geschwister Café;Café;53.594261;9.983603
