name;categories;lat;lng
Eiscafe Lido Frankfurt Eschersheim;Ice Cream Shop;50.15654588202367;8.656917660876974
Momberger;German Restaurant;50.158405819478034;8.649680237975687
Weiﬂer Stein;Plaza;50.156698067782465;8.656812744659328
Drosselbart;German Restaurant;50.15884841858594;8.656400785399683
Lotto & Presse Shop Schaad;Convenience Store;50.156703856491184;8.655871299999916
U Weiﬂer Stein;Metro Station;50.15647077685145;8.656864255330209
Koryano;Korean Restaurant;50.158379959708775;8.654658390995229
Bio Markt;Grocery Store;50.156947261819006;8.657011941718205
S Eschersheim;Light Rail Station;50.15848353474153;8.655516443240014
H Weiﬂer Stein;Bus Stop;50.15646130977448;8.656886610660107
REWE CITY;Supermarket;50.15911029954961;8.65534120415009
