name;categories;lat;lng
REWE;Supermarket;48.213654;11.540659
Cellino;Ice Cream Shop;48.21389842011126;11.540343938425814
H Feldmoching Bahnhof;Bus Stop;48.213679561291;11.54052569595077
Eis Cafe Cellino;Ice Cream Shop;48.214098;11.540046
Rackl's Backstub'n;Bakery;48.213857525435756;11.540571568402436
Wimmer Backerei;Bakery;48.21374282862593;11.53969698168654
H Feldmoching Bahnhof Ost;Bus Stop;48.21380703381626;11.543208360671997
ALDI SÜD;Supermarket;48.214051792444515;11.54016445826991
S+U Feldmoching;Light Rail Station;48.213800190099604;11.541208167265138
Wochenmarkt Feldmoching;Farmers Market;48.21360008995479;11.540112255287518
