name;categories;lat;lng
Plötners Café;Café;52.52918481002098;13.47068268269635
Rossmann;Drugstore;52.528746755107;13.470687026688248
Fennpfuhl-Park;Park;52.528741990878515;13.475414233003196
Schwimmhalle Anton-Saefkow-Platz;Pool;52.53115028150022;13.471510434388977
REWE;Supermarket;52.52867261799575;13.470486868588068
Restaurant Marco Polo Due;Italian Restaurant;52.52996721099281;13.471591541323646
NORMA;Supermarket;52.52846755590664;13.470792004029361
Lovely Sushi;Sushi Restaurant;52.529994665670216;13.474109172821045
TEDi;Construction & Landscaping;52.528811209470206;13.47182009325411
Angeljoe;Fishing Store;52.52868414913038;13.469518383879159
Beach Zone;Volleyball Court;52.53058322130006;13.476754147027126
H Anton-Saefkow-Platz;Tram Station;52.52818117256568;13.46907193063681
Packstation 211;Shipping Store;52.527463816343335;13.47877990532042
City Point Center;Department Store;52.52701757990373;13.479047864299211
Netto Marken-Discount;Supermarket;52.53064023;13.46844968
