name;categories;lat;lng
Seoul-Kwan;Korean Restaurant;52.47046452057505;13.330274178297588
Frau Behrens Torten;Café;52.471240812826586;13.335039286448925
Tra My;Vietnamese Restaurant;52.47192918990401;13.335341489104312
pane al caffè;Café;52.47043876678622;13.334167997362965
Ridders Kaffeerösterei;Coffee Roaster;52.4692;13.331717
DaBangg;Korean Restaurant;52.47153598116325;13.336096189631295
Lula am Markt;Bistro;52.47201175490675;13.335469251204604
Huong Giang;Vietnamese Restaurant;52.46918446587782;13.332147267769484
LuLa Deli Deluxe;Bistro;52.47156510733492;13.335753081340616
Hotel Klee Berlin;Hotel;52.47362582459176;13.328209795571548
Lula Deli & Grill;Café;52.472331857004846;13.335067660142299
Friedrich-Wilhelm-Platz;Plaza;52.47193267833883;13.328368663787842
Medusa;Greek Restaurant;52.475445;13.332666
Eis Voh;Ice Cream Shop;52.46827082822972;13.328275510257482
Offenbar;Cocktail Bar;52.47229559318634;13.336064923687426
Trattoria dell'Arte;Trattoria/Osteria;52.470920984535994;13.33519252919703
Eis Boutique;Ice Cream Shop;52.47209104505718;13.335506423723977
nahkauf;Supermarket;52.47342916804555;13.327636388305075
REWE;Supermarket;52.470003;13.333077
Fame Burger;Burger Joint;52.47047155572995;13.33427822835686
BIO COMPANY;Organic Grocery;52.468018460330605;13.328283514289035
Kaisereiche;Tree;52.4687674044684;13.332516069039361
Cosimaplatz;Park;52.47552300488847;13.33337779374217
