name;categories;lat;lng
Schloss Friedrichsfelde;Palace;52.50467953265919;13.523569107055664
Kakadu Terrassencafé;Café;52.5046129;13.5237485
Krokodilhaus;Zoo Exhibit;52.50505198558496;13.522189248901753
REWE;Supermarket;52.504821;13.515084
Rossmann;Drugstore;52.5047165637255;13.5155213140671
ABACUS Tierpark Hotel;Hotel;52.502148;13.518727
H Criegernweg;Tram Station;52.501231835847264;13.522350775228796
Schildkrötenhaus;Zoo Exhibit;52.504815925427714;13.522132813343593
Patagona Restaurant;Cafeteria;52.5046129;13.5237485
Gaststätte Zum Bären;Gastropub;52.49861575496647;13.52141256493563
Märkische Aue;Beer Garden;52.500809978081286;13.514213562011719
