name;categories;lat;lng
Mauna Kea;Café;52.452572363725515;13.624983536446997
Trattoria Cafe Tresoli;Trattoria/Osteria;52.45170113021375;13.624681000016603
Der GRIECHE;Greek Restaurant;52.446452889666595;13.627279608375868
Da Dalt;Ice Cream Shop;52.453216780689786;13.624989986087133
Eis Klatsch;Ice Cream Shop;52.44988457120997;13.624521602793964
BIO COMPANY;Organic Grocery;52.44710632;13.6245527
Domaines;Café;52.445325385736965;13.62710808421142
Seebad Friedrichshagen;Beach;52.446080542978265;13.630685643097568
Marktplatz Friedrichshagen;Plaza;52.45094812021371;13.624409131327896
Restaurant Bräustübl;German Restaurant;52.44693053238786;13.623981937461519
Simply Asia;Asian Restaurant;52.44932885323207;13.624251186847687
Bürgerbräu Biergarten;Brewery;52.44575687435495;13.624677658081055
EDEKA;Supermarket;52.4515093;13.6251059
Rossmann;Drugstore;52.45134251738109;13.624373168807045
Müggelpark;Park;52.444945986635524;13.626995086669922
Pane Vino;Italian Restaurant;52.450138732896775;13.624575838433875
Wirtshaus Rolandseck;German Restaurant;52.45288419670799;13.62781047821045
Café Lehmann;Café;52.453796357925306;13.625099341857908
