name;categories;lat;lng
Da Gino;Pizza Place;51.212267181881295;6.78406834602356
Lettinis;Gourmet Shop;51.21512081344073;6.781498459052061
Rivass;Middle Eastern Restaurant;51.21225710047137;6.780903339385986
Kucheneck;Cupcake Shop;51.210871905267766;6.781623736081437
manko café + workspace;Café;51.21500209159607;6.786458506494378
Basic - Bio für alle;Organic Grocery;51.21460227054448;6.776800594846405
Holy Craft Beer Store;Beer Store;51.2142417885522;6.7768471978463865
Pizzeria Pesto;Pizza Place;51.21477079929637;6.785539126765109
Ankhang Quan;Vietnamese Restaurant;51.215738;6.779469
homemade we eat fine;Bistro;51.21054844227757;6.779579526239292
Scaramanga's;Vietnamese Restaurant;51.21102974273748;6.7856930733535865
Fürstenplatz;Plaza;51.212405765953534;6.785315759080271
Matar;Falafel Restaurant;51.21242185315417;6.783574135644909
Konvex;Bar;51.21115635813334;6.785352295535927
Pitcher;Bar;51.211123218735416;6.785487693076969
Brause;Pub;51.21076706142053;6.781490625105438
Espresso Perfetto;Miscellaneous Shop;51.210965257859414;6.782405376010258
Chrystall;Clothing Store;51.21390675079301;6.786032285617181
Sol y Sombra;Spanish Restaurant;51.212327118975765;6.778681765583747
Schicke Mütze;Café;51.216391297686855;6.779506912181865
botschaft;Café;51.21392317470542;6.785558692154502
KarmaKarma;Yoga Studio;51.215730419371916;6.776679852272413
Cemo Grill Pizzeria;Pizza Place;51.21068770017052;6.778107115669416
TWT Interactive;Business Service;51.21600547430195;6.782631261672
Eis-Café Belluno;Ice Cream Shop;51.21449194242642;6.786877837077168
Bar Studio 1;Bar;51.21768031166652;6.780779827268539
Café Knülle;Café;51.211077476259725;6.7848516167611175
Linas Coffee Brew Bar & Deli;Café;51.21387842513861;6.7850252502182276
Anfora;Turkish Restaurant;51.217820622488645;6.7819076656687525
Kepler Eck;Bar;51.211137967654864;6.784530408578126
Bilker Häzz;Pub;51.2108528;6.7804874
Backpackers-Düsseldorf Hostel;Hostel;51.21421705027739;6.7795597503842195
Il Mercato;Italian Restaurant;51.215645;6.77679
Taverne Pegasos;Taverna;51.212503;6.775019
Espresso Perfetto;Coffee Shop;51.2149509;6.7770252
Tokyo Lounge;Japanese Restaurant;51.217971285338976;6.782266211530498
Vossen;Restaurant;51.21435;6.787075
Feuersteins Premium Burgers;Burger Joint;51.214992;6.78731
Kichererbse;Italian Restaurant;51.21357825510322;6.776441868734904
Mekong;Thai Restaurant;51.21029227598895;6.776770169172425
STIER ROYAL;Burger Joint;51.20934279199815;6.781986365102596
Die Blende;Pub;51.21081933393424;6.77685323096506
Grillstube Pfeffermühle;German Restaurant;51.211134015306286;6.785492544271649
Pitcher Rock 'n Roll Headquarter;Rock Club;51.21110087191704;6.785525908704337
Oh Wonder Bar;Café;51.213964;6.786109
damenundherren e.V.;Art Gallery;51.21109403878223;6.786254565067519
L é'ger;Vietnamese Restaurant;51.211115153286634;6.776690675199583
Terbuyken;Bakery;51.214765985737124;6.786776800324189
H18;Café;51.216100210212694;6.7781424899331375
Veatnam;Vietnamese Restaurant;51.210851997440784;6.777145907343935
El Greco;Greek Restaurant;51.212354;6.775238513946336
Rossmann;Drugstore;51.2161635843834;6.776946480564055
Hotel Astoria;Hotel;51.213230790998885;6.781130364292665
Rossmann;Drugstore;51.2149149875062;6.77689140892656
Kamps;Bakery;51.21242962122963;6.785253026275061
REWE;Supermarket;51.21413940472742;6.776130197471275
SB Waschsalon Eco-Express;Laundromat;51.212176875853366;6.7767169866481645
Trattoria Vulcano;Trattoria/Osteria;51.21103678911877;6.7849989366391315
Phoenix;Vietnamese Restaurant;51.21559562061826;6.775907405666314
Café Buur;Café;51.210999;6.776837
Kamps;Bakery;51.2124532416313;6.7778435087691085
Living Hotel Düsseldorf;Hotel;51.212275583054556;6.7759063839912415
Pizza Hut;Pizza Place;51.21036216;6.77966659
Kamps;Bakery;51.21714862986548;6.782650964652214
China Restaurant New City;Chinese Restaurant;51.215671723684764;6.779447225926293
La Bora;Italian Restaurant;51.216968510473606;6.7833214356514
A&O Hotel & Hostel Düsseldorf;Hotel;51.216259130966165;6.782542097198646
ALDI SÜD;Supermarket;51.217783155958045;6.779497687171897
BackWerk;Bakery;51.216804180295824;6.776813577729625
Pssst Bandido;Mexican Restaurant;51.21794897691113;6.782846906407839
Bei Deniz;Middle Eastern Restaurant;51.21098096541434;6.782559789109118
Kirchplatz;Plaza;51.21356019567153;6.775661997393687
WYNDHAM Garden Hotel;Hotel;51.21738144473035;6.781549307015294
Kassen Hermes;Business Service;51.215812;6.781161
H Morsestraße;Tram Station;51.21154409980913;6.7833771809699
Hotel Maxim;Hotel;51.21403093856605;6.785486458036728
NATO Shop;Clothing Store;51.210964359036375;6.782182421344627
Domino's Pizza Düsseldorf Friedrichstadt/bilk;Pizza Place;51.21571538873915;6.784984038635912
Markt Grill;Asian Restaurant;51.213601087560086;6.776382268574855
Thalia;Bookstore;51.2102932;6.7768401
Timo's Grillhütte;Steakhouse;51.20986139367478;6.783611411679613
ChriTa Sports;Miscellaneous Shop;51.2137902;6.7879472
Hotel Europa;Hotel;51.21318693909116;6.788233526394878
Hotel Schaum;Hotel;51.212429;6.788611
