name;categories;lat;lng
Kaffeehaus Zeltinger;Café;52.63338754662111;13.289887463416754
Piccadilly Frohnau;Coffee Shop;52.63318268565834;13.289861633056557
Pizzaiolo;Pizza Place;52.63254502187074;13.289001631939087
Eis Café Dolce Vita;Ice Cream Shop;52.631798429031946;13.289246439165971
Adriatic;Restaurant;52.633738964951554;13.293905450887888
King's Snack;Doner Restaurant;52.632350182824865;13.288866176945902
S Frohnau;Light Rail Station;52.63260535789736;13.289896199644549
decker optic;Optical Shop;52.632099175555155;13.28747034072876
EDEKA Boe;Supermarket;52.633084048585914;13.290491113068203
Restaurant Brescia;Italian Restaurant;52.631298246782265;13.28961574733967
EDEKA Erler;Supermarket;52.63287721;13.28705333
Wein & Vinos;Wine Shop;52.6321288911828;13.289057814320174
Thürmann;Bakery;52.63167422864072;13.289636771248944
Steinecke;Bakery;52.633314117678694;13.290495140437772
GbR Conerto Melante;Music Store;52.6355679;13.2828475
