name;categories;lat;lng
Zum Griechen;Greek Restaurant;53.63007991500861;10.022960404763019
Va Bene!;Café;53.62985;10.022282
Stadtbäckerei Junge Hansebäcker;Snack Place;53.629148786140625;10.022950999265097
Mr. Mutsch;Café;53.6279931921278;10.024645431236003
Rossmann;Drugstore;53.62854993671829;10.023731290189263
REWE;Supermarket;53.62804;10.02419
Wacholderpark;Park;53.631230938934586;10.024681980949468
Istanbul Kebab;Doner Restaurant;53.632618635874564;10.026035331229712
Meine PIZZALIEBE;Italian Restaurant;53.63259318;10.02552747
Sonnen-Apotheke;Pharmacy;53.6323396;10.0262675
Christas Eisbar & Café;Ice Cream Shop;53.6322383;10.026103700000021
U Fuhlsbüttel;Metro Station;53.63244372169326;10.026679949598632
Good Morning Vietnam;Vietnamese Restaurant;53.630772;10.021285
Eis-Schnecke;Ice Cream Shop;53.63054;10.02122
Bakery & Deli;Bistro;53.629456;10.02276
PENNY;Supermarket;53.62895110863716;10.023000399256489
Budnikowsky;Pharmacy;53.629288773190765;10.022956624299145
Café Luise Kleine Bäckerei;Bakery;53.62914577030673;10.02507775550206
Sportclub Alstertal-Langenhorn e.V.;Sports Club;53.633718;10.017344
Braaker Mühle;Bakery;53.62939821221044;10.018796980414407
H Preetzer Straße;Bus Stop;53.63313182607483;10.01673959772955
China Restaurant Shanghai;Chinese Restaurant;53.6319588098008;10.030350113376324
