name;categories;lat;lng
MOXY Berlin Humboldthain Park;Hotel;52.549568249587495;13.384071431974007
F-Bar;Dive Bar;52.55190846583408;13.386492881397304
La Femme;Breakfast Spot;52.5501068352242;13.385303814583947
REWE Center;Supermarket;52.54975087;13.38744469
Curry Baude;Currywurst Joint;52.54942017309213;13.386998598840623
Il Milanese del Tacco;Gourmet Shop;52.5517715972638;13.3841072406509
DaGiorgio's;Italian Restaurant;52.55233367160287;13.386915693844443
Nezha;Syrian Restaurant;52.55173227341282;13.382649239435922
Shalimar Restaurant;Pakistani Restaurant;52.5523345102005;13.387930512604543
Magic Mountain Kletterhalle;Climbing Gym;52.548612552868214;13.381901681283116
akko restaurant;Halal Restaurant;52.551968980590004;13.381105642328357
eurogida;Grocery Store;52.55006093628966;13.385788515861455
Studio8;Bar;52.55192522392607;13.386392184944087
Rosengarten;Garden;52.547565015384365;13.38720702048652
Flakturm Humboldthain;Historic Site;52.54728735823434;13.384412478550338
Yöre Gözleme ve Manti Evi;Turkish Restaurant;52.553261;13.382469
Berliner Unterwelten e.V.;History Museum;52.54774454143173;13.388863673656248
Wonder Waffel;Ice Cream Shop;52.5508126428986;13.384897248801925
Örnek Lahmacun Evi;Pide Place;52.554150873417804;13.38297739462506
Berliner Unterwelten Tour M;Trail;52.54991007838847;13.385360240936278
Berliner Unterwelten Tour 1;Trail;52.54765723765202;13.388872930560026
Baldon;Restaurant;52.54912;13.381062
John Reed Fitness;Gym / Fitness Center;52.5480237;13.3896053
denn's Biomarkt;Organic Grocery;52.54879932882594;13.388637894952028
Hostelo Berlin;Hostel;52.55045176738218;13.39151534555728
dm-drogerie markt;Drugstore;52.55138510725133;13.384346999999934
Echo Bücher;Bookstore;52.551990072329474;13.386620540973405
Imren Grill;Turkish Restaurant;52.55267626958907;13.379352925571062
Lezziz Kuruyemis;Chocolate Shop;52.55184;13.38195
Kunstgalerie Wilma;Bar;52.55325655862451;13.378619336219222
Dunkin';Donut Shop;52.549693;13.38762
Altin Saray;Turkish Restaurant;52.551748178699064;13.382577163662667
Lidl;Supermarket;52.5509487;13.3832753
TK Maxx;Clothing Store;52.55000575730891;13.390336060834988
Tchibo;Coffee Shop;52.54981617588424;13.388591669441327
Telekom Shop;Mobile Phone Shop;52.549698;13.38793
Kaufland;Big Box Store;52.547677937293884;13.389022935830626
Thalia;Bookstore;52.549623;13.3882892
Sofra Grill;Turkish Restaurant;52.5551441093418;13.383966718741458
Rossmann;Drugstore;52.548059820779;13.3904329005722
McPaper;Paper / Office Supplies Store;52.54957735901554;13.390123844146727
Bella Italia;Italian Restaurant;52.54736920948017;13.389120310590139
ServiceStore DB;Convenience Store;52.54847768599145;13.389638813553322
Apartment & Hotel Ocak;Hotel;52.55089070261074;13.391649422332657
Backshop;Bakery;52.547786357110496;13.389465258422117
