name;categories;lat;lng
Coppiplatz;Plaza;51.36746020022624;12.36709713935852
Biergarten mit Ginkgobaum;Beer Garden;51.36356290230725;12.373726719243326
Konsum;Supermarket;51.36731506171711;12.375279643075451
Konditorei & Bäckerei Wendl;Bakery;51.367085;12.375588
Hacienda Mexicana;Mexican Restaurant;51.367053640066366;12.371980197827526
Park Gohlis-Mitte;Park;51.36551096426954;12.371013164520264
Thüringer Rostbrät'l;Pub;51.36816966111714;12.371426453295072
H Virchow- / Coppistraße;Tram Station;51.36708296076863;12.376008284826264
Gohlis Bürger Döner;Doner Restaurant;51.36633638439722;12.366537803582453
Leipziger Eishaus;Ice Cream Shop;51.366932;12.376422
TOTAL Station;Gas Station;51.3660633469052;12.366299286522354
Schaarschmidt's;German Restaurant;51.36685065425564;12.377040088176727
H Gottschallstraße;Tram Station;51.369127024778415;12.376495629603168
H S-Bahnhof Gohlis;Tram Station;51.363185584708;12.373925914344847
Packstation 102;Shipping Store;51.36256718711164;12.370954391118557
