name;categories;lat;lng
Mytropolis;Greek Restaurant;51.36014562291962;12.361665001645765
M¸nsters;Restaurant;51.358298065719524;12.36029642015114
REWE;Supermarket;51.36110419449041;12.360553257796255
Kaufland;Supermarket;51.3628532733803;12.36233070761868
Rossmann;Drugstore;51.3627368895536;12.3654686534173
H Menckestraﬂe;Tram Station;51.3594795864974;12.361947715856259
Packstation 143;Shipping Store;51.361666884072115;12.363122182548292
Schillerhaus;Historic Site;51.35876837949333;12.362794876098633
H Stallbaumstraﬂe;Tram Station;51.357723958747535;12.359449119967245
B‰ckerei Schladitz;Bakery;51.36443248535697;12.35736608505249
H Georg-Schumann-/Lindenthaler Straﬂe;Tram Station;51.362672521238764;12.364822248251308
Restaurant & Bar CAMPUS;Restaurant;51.356769878042364;12.362785907865605
