name;categories;lat;lng
Grünauer Welle;Water Park;51.31524520287309;12.292425456563098
dm-drogerie markt;Drugstore;51.31890106201172;12.28854751586914
Rossmann;Drugstore;51.319389085600584;12.289821220486871
SUBWAY;Sandwich Place;51.31921581356216;12.289334808511512
REWE Center;Supermarket;51.3194901873043;12.290519783449781
Lidl;Supermarket;51.3141001;12.2933958
H&M;Clothing Store;51.319712;12.290625
Cineplex Cinemas;Movie Theater;51.3199013587243;12.292271480607177
Allee-Center;Shopping Mall;51.31937820954194;12.290027994230215
Saturn;Electronics Store;51.31948577539759;12.290538260967496
Apollo-Optik;Optical Shop;51.3193443;12.2885557
