name;categories;lat;lng
Mr. Lee;Korean Restaurant;50.102041725035974;8.66038392899925
Atlantik Fisch;Seafood Restaurant;50.10249368519658;8.6614746624474
Cron am Hafen;Italian Restaurant;50.099457160801684;8.659221101193523
african queen;African Restaurant;50.103296486415985;8.663067027132152
Chamäleon;Restaurant;50.099697;8.658938
Hunky Dory;Cocktail Bar;50.103891712844565;8.665367323347024
L'Osteria;Trattoria/Osteria;50.101269729761626;8.66363704057337
Intercity Hotel Frankfurt Hauptbahnhof Süd;Hotel;50.104717;8.662657
Frankfurter Botschaft;Restaurant;50.10102384178134;8.664178848266602
émile - ma petite cuisine;Bistro;50.09947287535607;8.659525617124592
Hotel Europa Style;Hotel;50.10437373695801;8.66450954471947
Nykke & Kokki;Bistro;50.103777750841836;8.665591536036981
Yumas;Mexican Restaurant;50.1039402176177;8.66530213587991
Da Michele;Italian Restaurant;50.10292561575865;8.662433278431955
Persia;Persian Restaurant;50.102416192741494;8.663392101850274
Pearl Hotel;Hotel;50.10116290188624;8.65865500401415
Baseler Eck;German Restaurant;50.10301150842863;8.664685902409236
Hafez;Middle Eastern Restaurant;50.10443885675523;8.664753786997004
REWE;Supermarket;50.100216755674;8.658908555089056
Hotel Europa Life;Hotel;50.10424872887606;8.664618275154137
China-Paradies;Chinese Restaurant;50.103650226644476;8.665567574120825
Sandwicher Fastgoodfood;Sandwich Place;50.10374619360211;8.665395578273014
Main;River;50.101569;8.665973
Theodor-Stern-Kai / Mainufer-Promenade;Park;50.09794118031146;8.66371823958176
