name;categories;lat;lng
REWE;Supermarket;48.115274;11.478155
Haderner Augustiner;German Restaurant;48.11511743323059;11.479730418291904
Trattoria 4 Mori;Trattoria/Osteria;48.11445406675314;11.478899269402232
Sushi & Wok;Sushi Restaurant;48.115123551195566;11.480276340057282
ALDI SÜD;Supermarket;48.12034691647286;11.482445177950808
SUBWAY;Sandwich Place;48.115098595203165;11.476807918402642
Bienen-Apotheke Grosshadern;Pharmacy;48.1147995;11.4786301
U Großhadern;Metro Station;48.11550202914154;11.477015745131721
Hotel Thalmair;Hotel;48.114349678410555;11.478879424730696
Eiscafé Galleria;Ice Cream Shop;48.114389;11.478348
