name;categories;lat;lng
Fleischerei Bünger;Butcher;52.49639;13.292842
Cups;Café;52.4973884452663;13.291307350385743
Henriettenplatz;Plaza;52.49674086387018;13.290994763374329
Sayuri;Japanese Restaurant;52.49771903635713;13.295225996146746
Scoopy doo;Ice Cream Shop;52.4983087;13.2906527
Rossmann;Drugstore;52.498270053599185;13.297967646988942
La Cave de Bacchus Weinhandel;Wine Shop;52.495723954555835;13.29681521987526
Lokahi Loft;Gym / Fitness Center;52.499588819225195;13.295801812973512
Aspria Berlin Ku'damm;Hotel;52.500596831344865;13.294458872154213
Eis Café Eisgrün;Ice Cream Shop;52.49732423389471;13.290991723679316
Aspria Club;Gym / Fitness Center;52.50053575307469;13.294352316766721
Haus der 100 Biere;German Restaurant;52.49828169255052;13.297111420740737
Ku' Damm 101;Hotel;52.498230085796955;13.295989036560059
Oriental Snack;Doner Restaurant;52.49686128044804;13.289720204073927
De Santi;Italian Restaurant;52.496664667601046;13.292707438284793
Ach! Niko Ach!;Greek Restaurant;52.49843713159175;13.298388899654581
Steinecke;Bakery;52.49734043669604;13.290539171513105
Big Window;Eastern European Restaurant;52.496249;13.296206
Fressnapf;Pet Store;52.49966252138127;13.288615707863187
Piazza Brá;Italian Restaurant;52.49864353417829;13.299682004033542
