name;categories;lat;lng
Brauhaus zum goldenen Handwerk;German Restaurant;51.20408954642431;6.736119231964994
Bauern-Café am Kapellchen;Café;51.203674195159735;6.735688318763304
Hammer Blick;Gastropub;51.20439460571934;6.734077026028909
Hammer Deich Strand;Beach;51.20121;6.7346926
Bauern Cafe;Café;51.20406986757615;6.737805248277782
Grill Hamm;Greek Restaurant;51.20426520856282;6.7395758628845215
Am Kapellchen;Restaurant;51.20400113160266;6.7358831027297
Rheinstrand;Beach;51.200702744082925;6.734940241329293
Landhaus Hamm Hotel Garni;Hotel;51.20788077474559;6.739430328857204
Stadtsparkasse Düsseldorf;Bank;51.207899917576206;6.739476832160515
