name;categories;lat;lng
Der Chinese am Fleet;Chinese Restaurant;53.55099860624497;10.053626323083696
Der Grieche;Greek Restaurant;53.555207534881184;10.050882911048985
Orogelato Eis;Ice Cream Shop;53.55752;10.051296
REWE Andreas Spangl;Supermarket;53.55490859559122;10.051834786800214
Croque Lagune;Sandwich Place;53.55099203911315;10.05709871
Restaurant Inos;Greek Restaurant;53.55726880727271;10.052886189436089
Starcar;Rental Car Location;53.55152115613075;10.052893797985565
Netto Marken-Discount;Supermarket;53.55521254739;10.05339503321369
Tinka Helas Pizzahouse;Greek Restaurant;53.55156619771127;10.053802662052334
U Hammer Kirche;Metro Station;53.555569902141386;10.055075821771226
sky;Supermarket;53.55288293212652;10.045520721227335
Zum Pferdestall;German Restaurant;53.55036976534402;10.047884337564998
StadtRAD Leihstation 2562;Bike Rental / Bike Share;53.556473;10.055488
H Beim Hammer Marktplatz;Bus Stop;53.55702772469288;10.054279458268311
Kiosk;Convenience Store;53.55328287040593;10.058064764892398
Avis Deutschland;Rental Car Location;53.55238446689045;10.044715177186845
IPHH;IT Services;53.54971035499292;10.048467140105386
Budget Deutschland;Rental Car Location;53.552435;10.044619
Relax Café;Café;53.550984;10.045595
ALDI NORD;Supermarket;53.551281;10.045048
Wochenmarkt Hamm;Farmers Market;53.557164;10.054938
