name;categories;lat;lng
MAYA Kaffeerösterei;Coffee Shop;53.54604512407237;10.024439503405665
Louis Fun Company GIGAStore;Motorcycle Shop;53.545176440478755;10.029547482981748
Jawa;Indonesian Restaurant;53.54721061792766;10.026513757731475
Südpol Hamburg;Dance Studio;53.545704493604205;10.03282511570223
Olivio;Italian Restaurant;53.54696306552974;10.025541733523744
Superbude St. Georg;Bed & Breakfast;53.5504055684966;10.022063569474934
SUBWAY;Sandwich Place;53.54405889238471;10.025384177977344
Mittelkanal;Canal;53.546509305449085;10.021108787111942
Ristorante Alitalia;Italian Restaurant;53.54513999190638;10.025327331269354
Pic-a-Deli;Italian Restaurant;53.544561396003274;10.025334522988564
Schanzen Bäckerei;Bakery;53.54471735074591;10.028567896633994
VaVeloce;Italian Restaurant;53.5447741624389;10.02881929436391
Pastaria Hamburg;Italian Restaurant;53.54480920234586;10.025197277250342
lunch house;Pizza Place;53.54841588214429;10.022343069748308
Fresh Food Factory;Soup Place;53.54699502057604;10.02566739395048
Schanzenbäckerei;Bakery;53.54566061983878;10.024694038937543
Schanzenbäckerei City-Süd;Bakery;53.548177718979275;10.022618430466784
Canon Reparaturservice Foto Maerz;Electronics Store;53.544916573175364;10.027880250464898
Enterprise Rent-A-Car;Rental Car Location;53.5453272;10.0298234
Chiyo Sushi Bar;Sushi Restaurant;53.544363;10.026389
Betriebssportverband Hamburg;Gym;53.547829979610775;10.030419809420675
GFN AG;Business Service;53.544569169008675;10.024472195618728
H Süderstraße;Bus Stop;53.54538579661201;10.030545943541757
Star Finanz GmbH;Business Service;53.54373431038808;10.027798218566959
InnoFit;Gym;53.5436852026048;10.029403971647186
H Nagelsweg;Bus Stop;53.54333487075185;10.022773471131043
