name;categories;lat;lng
Lir Irish Pub;Irish Pub;52.520284479191844;13.344340720449152
Akademie der Künste | Academy of Arts (Akademie der Künste);Art Museum;52.51828281151223;13.346301882080567
Longdistance Shop for Runners;Sporting Goods Shop;52.51685579404812;13.343367576599121
GRIPS Theater;Theater;52.51857729534326;13.3415088057518
Marjan Grill;Mediterranean Restaurant;52.52019090974542;13.346992507015973
Spree-Ufer Moabit;Pedestrian Plaza;52.522475096885096;13.33963394165039
Hansa-Ufer;Waterfront;52.518727886767266;13.336350917816162
Buchkantine;Bistro;52.521405;13.3381637
Konditorei & Café Buchwald;Pastry Shop;52.521197;13.347825
Englischer Garten;Park;52.516703999250495;13.347423076629639
Buchstabenmuseum;Art Museum;52.520003;13.344753
Teehaus im Englischen Garten;Café;52.516997999890044;13.347867867011727
Hotel Hansablick Garni;Hotel;52.51752340702721;13.336784224735183
REWE CITY;Supermarket;52.518722677716;13.34249744487363
Absolut Curry;Currywurst Joint;52.5201484273184;13.347306867534536
Keyfi Sefa Berlin;Turkish Restaurant;52.518350199048015;13.341654723717099
Café Tiergarten;Café;52.516741785825126;13.344059828903811
Hansaplatz;Plaza;52.51842718345503;13.342117404668054
H U Hansaplatz;Bus Stop;52.51787917109448;13.342058658599854
Getränke Hoffmann;Liquor Store;52.52042648100671;13.341854008598375
Spätkauf;Convenience Store;52.518434127140985;13.342206438857897
Spreeufer Hansaviertel;Pedestrian Plaza;52.51965607108677;13.343336091710214
Thürmann;Bakery;52.51892695027704;13.34179804969597
King Döner;Kebab Restaurant;52.518499;13.341967
Anlegestelle Hansabrücke;Harbor / Marina;52.51985978806295;13.338796694060091
Cafe Spree-Blick;Café;52.5197036775428;13.338581126558712
Spielplatz an der Akademie der Künste;Playground;52.51920120184819;13.34815263748169
Spreebogen im Hansaviertel;River;52.52285371706155;13.343603610992432
Bistro Bonjour;Bakery;52.52079257192391;13.347671493701533
Der grüne Laden;Grocery Store;52.523036172769366;13.339874622966015
