name;categories;lat;lng
Marias Ballroom;Bar;53.45513287277708;9.986486704702587
köz Patara;Restaurant;53.45627411026364;9.985762249716965
Öz Urfa Kebab;Kebab Restaurant;53.45664049655797;9.98571744554216
Sammlung Falckenberg;Art Gallery;53.455038655368384;9.987415347183497
Phoenix Center;Shopping Mall;53.456159;9.987567
Ciao Bella;Italian Restaurant;53.4561733;9.9878027
Central;Restaurant;53.456844723865586;9.985163256026752
Rossmann;Drugstore;53.4566975407211;9.98782989540243
H&M;Clothing Store;53.456202121363994;9.986697964279188
Subway;Sandwich Place;53.45626;9.98639
REWE;Supermarket;53.45612002536638;9.987569670692096
C&A;Clothing Store;53.456459251551216;9.988175861446393
MediaMarkt;Electronics Store;53.456468907098916;9.987652784284027
Pizza Hut Hamburg, Phönix Center;Pizza Place;53.45628996104405;9.98789422949983
CinemaxX;Multiplex;53.456862462606445;9.98502445835907
Lidl;Supermarket;53.457043;9.984304999999999
McDonald's;Fast Food Restaurant;53.45644328077758;9.987572364418043
Mr Phung;Chinese Restaurant;53.45657790168245;9.987470133398096
The Kumpir;Snack Place;53.45680857722678;9.985937597313072
Meson Galicia;Spanish Restaurant;53.45262474518748;9.982347744314133
Adese Markt;Grocery Store;53.45772991115268;9.984979091227487
