name;categories;lat;lng
ELIXIA Vitalclub Hellersdorf;Gym / Fitness Center;52.53518775517027;13.607566839658343
BergWerk;Rock Climbing Spot;52.537724205357534;13.603606043474246
La Paz;Mexican Restaurant;52.537752358190325;13.60311929232302
Rossmann;Drugstore;52.53853389456454;13.603935898745984
real;Big Box Store;52.53824358696982;13.60502496516479
Saturn;Electronics Store;52.53748187825381;13.605126410481768
CineStar Hellersdorf;Multiplex;52.537734684745935;13.603611981602498
Marktplatz Center;Shopping Mall;52.5376838096101;13.60495349150882
BackWerk;Bakery;52.53856229453936;13.603884567966569
Commerzbank;Bank;52.53673578257688;13.603873359783409
CAFÉ P-TWO;Cocktail Bar;52.53607585923777;13.602296964544355
Hotel Helle Mitte im Atrium;Hotel;52.537644526146906;13.6034105068301
Domino's Pizza Berlin Hellersdorf;Pizza Place;52.53818909289264;13.602913158158685
Syrtaki Griechisch-Mediterranes Restaurant;Greek Restaurant;52.5376215;13.60250872
Post | Postbank;Post Office;52.53857775729143;13.60282198157189
