name;categories;lat;lng
Dito;Ice Cream Shop;53.58300477109756;9.975654311821403
Mansaaf;Middle Eastern Restaurant;53.58226500298925;9.972777921291366
Cafe Amira;Café;53.58377315;9.97680583
Eis & innig;Ice Cream Shop;53.58157923625337;9.979929184992214
stories!;Bookstore;53.580455915365086;9.975336865152814
La Caffètteria;Italian Restaurant;53.58436312519528;9.974672482765355
Ono by Steffen Henssler;Sushi Restaurant;53.58079741157618;9.97839949578977
La Quesadilla;Mexican Restaurant;53.5822942809581;9.977224776384633
Kaffeerösterei Burg;Café;53.583614070793516;9.977056963506708
Piment;French Restaurant;53.582002;9.979672
Botanic District;Cocktail Bar;53.582598079312774;9.980613423165025
elbgym Eppendorf;Gym / Fitness Center;53.581307185203165;9.976990087876832
Casa De Aragon;Paella Restaurant;53.58306884765625;9.975487619999999
An Khang;Vietnamese Restaurant;53.58349150079334;9.970390354952007
Favorita;Café;53.58154544838603;9.970963098959835
Poletto Winebar;Wine Bar;53.585121916429806;9.980840384960175
BalzundBalz;Café;53.57939653829415;9.976766189140527
Le Cochinchine;Vietnamese Restaurant;53.584544299101154;9.979989184839665
Little Amsterdam;Café;53.581261;9.979486
Isemarkt;Farmers Market;53.58038607258305;9.980295612755128
Garduong;Vietnamese Restaurant;53.581608893857016;9.971515296901721
dm-drogerie markt;Drugstore;53.579688554633414;9.975163148479396
Was wir wirklich lieben;Café;53.583071396680374;9.981566682846367
Mutterland;Gourmet Shop;53.58546535896802;9.981756442076856
The Boilerman Bar;Cocktail Bar;53.58147659587168;9.970618805771823
Ristorante Italiano;Italian Restaurant;53.58278111889298;9.98021356702336
COMSPOT Hoheluft;Electronics Store;53.579933;9.974914
Hansebäcker Junge;Bakery;53.58196156201833;9.971487522125242
Al Volo;Pizza Place;53.58145634185827;9.970574407944243
My Poké;Hawaiian Restaurant;53.579722;9.974746
Alnatura;Organic Grocery;53.579355733880035;9.974984592927855
EDEKA Schlemmermarkt Struve;Supermarket;53.5844913398127;9.982297676379746
EDEKA Heitmann;Supermarket;53.58086945269172;9.973294384443925
Fitness First Platinum Club;Gym / Fitness Center;53.58576700811302;9.971995542327932
Budnikowsky;Pharmacy;53.580716067481454;9.973438697918727
IMARA;Spanish Restaurant;53.581016;9.970244
Vo;Vietnamese Restaurant;53.584366;9.981081
Speicherstadt Kaffeerösterei;Café;53.584491934337784;9.98237044677496
El Chanti Deli;Burger Joint;53.58180158574549;9.971596822796812
Parandeh Pizza Pasta;Italian Restaurant;53.583241261942284;9.97935900821946
Soho Chicken;Fried Chicken Joint;53.58187423260847;9.972170484477813
Mars Bar;Deli / Bodega;53.58181444171869;9.977710365861878
Sel Kebap's;Doner Restaurant;53.58399541039516;9.968864646003231
Meat Market;Steakhouse;53.580046;9.974537
Tassajara;Vegetarian / Vegan Restaurant;53.585250503122055;9.981885945955344
Laufwerk;Sporting Goods Shop;53.58051527878422;9.973868767601854
Cafe & Bar Celona;Café;53.5853658462862;9.981244835484226
Küchenfreunde;Restaurant;53.582217134850126;9.979827744214553
Broterbe Gaues;Bakery;53.580032126704566;9.974302197463144
Bolia;Furniture / Home Store;53.58015766187521;9.97520890448105
HerrLich;Soup Place;53.584317060002185;9.96921778618665
mymuesli Laden;Organic Grocery;53.584544279828435;9.982237815856934
EATaliano;Italian Restaurant;53.58308854203556;9.975727336847633
Loewen;Café;53.583989990142;9.97824390882633
da hoam;Austrian Restaurant;53.58467744101256;9.98015175023567
Din Hau;Asian Restaurant;53.58168583360024;9.97235321558396
Peter Pane;Burger Joint;53.582441300263326;9.971197192800654
Xiao Xiang;Dim Sum Restaurant;53.583214;9.979965
Cucinaria;Furniture / Home Store;53.580956623114616;9.976511520441017
HANOI deli;Vietnamese Restaurant;53.585065410249015;9.981554252316093
Emek Kebap's;Kebab Restaurant;53.58402235708462;9.968692378786152
Block House;Steakhouse;53.578983870841085;9.97540469059715
Pizza Puro;Pizza Place;53.580549911019965;9.973322328216312
La Bottega Lentini;Italian Restaurant;53.5842417885867;9.978806668131204
REWE;Supermarket;53.5796197;9.97395192
Verrückt nach frisch;Vegetarian / Vegan Restaurant;53.580556816942085;9.975150710207839
Bäcker Gaues;Bakery;53.58435336799616;9.98259843007538
TH²;Café;53.580194046342484;9.979717143394268
Sunset Billiard;Pool Hall;53.582379478947296;9.971294455631549
Lotusblüte;Chinese Restaurant;53.58402194249742;9.977977913849722
Saray Döner  (ehem. Taxel's Futterhütte);Falafel Restaurant;53.58182312449368;9.97211303287407
Osaka Sushi;Sushi Restaurant;53.57994795302407;9.974270770017807
Mama Trattoria;Trattoria/Osteria;53.5846904162111;9.980790109973483
Belachan Express;Thai Restaurant;53.57924972178204;9.975069420303408
Giovanni L.;Ice Cream Shop;53.581179;9.973247
Octopus;Furniture / Home Store;53.580164;9.97654
StadtRAD Leihstation 2243;Bike Rental / Bike Share;53.58174464109185;9.97140583449617
Dat Backhus;Bakery;53.57978030039621;9.974981261766516
SUBWAY;Sandwich Place;53.579936964204975;9.974714288588302
