name;categories;lat;lng
moki's goodies;Breakfast Spot;53.57957498477021;9.966554203919939
kropkå;Café;53.580316787280765;9.968255815205945
Favorita;Café;53.58154544838603;9.970963098959835
Dal Fabbro;Italian Restaurant;53.58046846293319;9.968701029041217
The Boilerman Bar;Cocktail Bar;53.58147659587168;9.970618805771823
Eppendorfer Grill-Station;Fast Food Restaurant;53.580277131088366;9.968032406550673
Garduong;Vietnamese Restaurant;53.581608893857016;9.971515296901721
S&S Grill;Doner Restaurant;53.583064;9.966486
Al Volo;Pizza Place;53.58145634185827;9.970574407944243
IMARA;Spanish Restaurant;53.581016;9.970244
An Khang;Vietnamese Restaurant;53.58349150079334;9.970390354952007
Mansaaf;Middle Eastern Restaurant;53.58226500298925;9.972777921291366
Zipang;Japanese Restaurant;53.57956496154696;9.966510192682843
Jazzclub Birdland;Jazz Club;53.57826475731507;9.96248399939655
Eisliebe;Ice Cream Shop;53.5801016655149;9.967800910452803
Hansebäcker Junge;Bakery;53.58196156201833;9.971487522125242
stories!;Bookstore;53.580455915365086;9.975336865152814
MeridianSpa;Gym / Fitness Center;53.57990723550155;9.961284747400283
dm-drogerie markt;Drugstore;53.579688554633414;9.975163148479396
Baradona;Spanish Restaurant;53.576519819644986;9.969747163089432
Café Fele;Café;53.578665943260255;9.97423995075751
Ufer;Wine Bar;53.57847745649046;9.974696754928706
COMSPOT Hoheluft;Electronics Store;53.579933;9.974914
El Chanti Deli;Burger Joint;53.58180158574549;9.971596822796812
Alnatura;Organic Grocery;53.579355733880035;9.974984592927855
EDEKA Heitmann;Supermarket;53.58086945269172;9.973294384443925
Sel Kebap's;Doner Restaurant;53.58399541039516;9.968864646003231
My Poké;Hawaiian Restaurant;53.579722;9.974746
Happy Ballon;Gift Shop;53.579739239000965;9.966865758021662
Budnikowsky;Pharmacy;53.580716067481454;9.973438697918727
Soho Chicken;Fried Chicken Joint;53.58187423260847;9.972170484477813
Meat Market;Steakhouse;53.580046;9.974537
Laufwerk;Sporting Goods Shop;53.58051527878422;9.973868767601854
HerrLich;Soup Place;53.584317060002185;9.96921778618665
Broterbe Gaues;Bakery;53.580032126704566;9.974302197463144
Emek Kebap's;Kebab Restaurant;53.58402235708462;9.968692378786152
Peter Pane;Burger Joint;53.582441300263326;9.971197192800654
Bolia;Furniture / Home Store;53.58015766187521;9.97520890448105
Din Hau;Asian Restaurant;53.58168583360024;9.97235321558396
Pizza Puro;Pizza Place;53.580549911019965;9.973322328216312
REWE;Supermarket;53.5796197;9.97395192
Bäckerei Hagelstein;Bakery;53.57743229653425;9.970907041396078
Sunset Billiard;Pool Hall;53.582379478947296;9.971294455631549
Verrückt nach frisch;Vegetarian / Vegan Restaurant;53.580556816942085;9.975150710207839
Mama Rosa;Italian Restaurant;53.58013064562594;9.961425152246578
Saray Döner  (ehem. Taxel's Futterhütte);Falafel Restaurant;53.58182312449368;9.97211303287407
Hollywood Canteen;Diner;53.579643032331475;9.96358036994934
Avenue 95;Hookah Bar;53.58219571574819;9.970204979890465
Osaka Sushi;Sushi Restaurant;53.57994795302407;9.974270770017807
Akropolis;Greek Restaurant;53.57902;9.964732
heimlichbar;Cocktail Bar;53.58315322321671;9.970197826764974
Apartmenthaus Hamburg;Hotel;53.58179053428683;9.96563931749794
Doy Doy Kebap House;Falafel Restaurant;53.579905184317596;9.966975668826057
Osteria Gatto Nero;Trattoria/Osteria;53.58062802367532;9.96900685024566
StadtRAD Leihstation 2243;Bike Rental / Bike Share;53.58174464109185;9.97140583449617
Belachan Express;Thai Restaurant;53.57924972178204;9.975069420303408
Gattonero Osteria;Trattoria/Osteria;53.579235753121196;9.965613550601516
H Kottwitzstraße;Bus Stop;53.58049789236929;9.96454116464701
Dubai Nights;Hookah Bar;53.58265225426977;9.97101968229947
H Eppendorfer Weg;Bus Stop;53.57865320901898;9.96585872628607
Domino;Toy / Game Store;53.582127;9.972529
Giovanni L.;Ice Cream Shop;53.581179;9.973247
Magris;Italian Restaurant;53.58226867371299;9.97284712919725
Dat Backhus;Bakery;53.57978030039621;9.974981261766516
Smiley's;Pizza Place;53.585096937772704;9.969089659398314
SUBWAY;Sandwich Place;53.579936964204975;9.974714288588302
Cafe Tempo;Café;53.58271483830719;9.974278436445683
Nur Hier;Bakery;53.57664442641611;9.969660965688051
StadtRAD Leihstation 2242;Bike Rental / Bike Share;53.57769693329107;9.963250043902821
