name;categories;lat;lng
Sagners;Restaurant;53.56222741402446;10.016852429831781
Crowne Plaza Hamburg - City Alster;Hotel;53.5627754;10.0196295
The George;Hotel;53.561009558052504;10.015068820246265
Alster-Grillwiese;Park;53.5642610309579;10.015972974896263
La Serenissima;Italian Restaurant;53.56382496056404;10.024135239565503
Alster-Schwimmhalle;Pool;53.560592846218185;10.022315432328462
Lohmühlenpark;Park;53.558991;10.016468
Opitz;German Restaurant;53.56488905016366;10.018621868054554
DaCaio;Italian Restaurant;53.561012680253135;10.015051800238925
Eiscafé il Lago;Ice Cream Shop;53.56602221917095;10.02016481378938
Campari Lounge;Hotel Bar;53.561095875044764;10.014862709122966
Novotel Hamburg City Alster;Hotel;53.5588975;10.0248784
Spanische Treppe;Tapas Restaurant;53.56547678237411;10.01915177270699
Vezos;Greek Restaurant;53.56602719125595;10.019473617283259
Anleger 1870;Restaurant;53.56573176041484;10.019147167376302
Alstercafe;Bakery;53.561572566802944;10.02207867301524
H Graumannsweg;Bus Stop;53.562838705337434;10.017364306970885
Hamburger Kanu Club;Sports Club;53.56248986269432;10.017117861865241
Tom-Yam;Thai Restaurant;53.5662988037953;10.020734367745627
Fitness@Novotel;Gym / Fitness Center;53.558973;10.025456
Schanzenbäckerei;Bakery;53.55757693239092;10.020935499748733
