name;categories;lat;lng
Hampton by Hilton Dortmund Phoenix See;Hotel;51.4904787128951;7.503208126112364
REWE;Supermarket;51.48802480742449;7.505891172103734
Best Friends Dortmund;Sushi Restaurant;51.49040532966978;7.507109140025337
Droschke;Persian Restaurant;51.494013645328764;7.498507438338513
Schürmanns Hafenkantine;Restaurant;51.490363248954594;7.507047550451902
Pizzeria am Markt;Pizza Place;51.48927506471008;7.5029319667971865
Citybäcker;Bakery;51.49013692386055;7.507209136701418
Hörder Burg;Castle;51.491756282625424;7.502839455515322
dm-drogerie markt;Drugstore;51.489212515493634;7.500781635581916
Rossmann;Drugstore;51.488288761978495;7.499821190337229
Gelateria La Luna;Ice Cream Shop;51.49062259255008;7.5068700313568115
Pfefferkorn NY Steakhouse;Steakhouse;51.491826;7.505686
BackWerk;Bakery;51.48955395;7.50242644
REWE;Supermarket;51.4880748979083;7.500814661010217
PENNY;Supermarket;51.491691081860374;7.50135891538514
Wurst mit Soße;Currywurst Joint;51.49046664586087;7.507096003880088
Mu-Kii;Japanese Restaurant;51.49075;7.506133
Café Solo | Solo factory;Modern European Restaurant;51.491573719557955;7.506318887624961
Bahnhof Dortmund-Hörde;Train Station;51.48801120288271;7.499306856812947
Espresso Perfetto;Coffee Shop;51.489908;7.505707
MediaMarkt;Electronics Store;51.492427691142574;7.501874315706574
Malzer's Backstube;Bakery;51.48814272939262;7.500488977960997
U+H Hörde Bahnhof;Metro Station;51.488134;7.50014
BVB Fanshop;Sporting Goods Shop;51.488170881627994;7.4999070167541495
