name;categories;lat;lng
beißer burger;Burger Joint;48.3654;10.900583
Picnic;Café;48.366640287337404;10.898877021105207
Nikos Tavernaki;Taverna;48.36600591;10.90046676
Sangam;Indian Restaurant;48.36703957947225;10.89962146815262
Steigenberger Drei Mohren Augsburg;Hotel;48.365564429470346;10.8991868193326
Damenhof;French Restaurant;48.36625698303364;10.898455320569658
Enchilada;Mexican Restaurant;48.36443156084982;10.899094773180988
Mom's Table;Vegetarian / Vegan Restaurant;48.365143;10.89961
Moritzplatz;Plaza;48.36720561693657;10.89775406641442
Al Teatro Ristorante;Italian Restaurant;48.36734118301237;10.900783212364592
Osteria Albero Verde;Trattoria/Osteria;48.36417804023801;10.904601262325567
Annapam;Bar;48.36262716308998;10.90276541846109
Poseidon Restaurant;Greek Restaurant;48.363418886150605;10.899675379906261
Ristorante Pizzeria Dragone;Pizza Place;48.36656913985549;10.899358498358534
Peaches;Bar;48.36439808987689;10.89974032927496
Ratskeller;German Restaurant;48.36868788585619;10.899141025037643
Rathausplatz;Plaza;48.36897412121449;10.897765898286782
Haifischbar;Bar;48.361253137540274;10.903050127414804
Apple City-Galerie;Electronics Store;48.3655553;10.9071592
Königsplatz;Plaza;48.36600890511646;10.894143968839218
Goldener Saal;Historic Site;48.368705142771226;10.898558547315375
Café Goldener Erker;Ice Cream Shop;48.367157834521485;10.89828104086846
TK Maxx;Clothing Store;48.368241540400426;10.896839494530266
CinemaxX Augsburg;Multiplex;48.365454416402805;10.905284561702251
Der Commerzienrat;Restaurant;48.36657710271716;10.895451589045798
Augsburger Dult;Department Store;48.366544835197324;10.905078719969243
Koh Samui;Thai Restaurant;48.3655826546369;10.894632604471065
Aposto;Italian Restaurant;48.36892961365096;10.897345079836256
Henry's Coffee;Café;48.369031030189944;10.897653509252887
Thalia;Bookstore;48.36815;10.8963
Striese;Gastropub;48.36090570478047;10.900979010338768
Tokyo;Sushi Restaurant;48.36577068712668;10.906417093754511
Zara;Clothing Store;48.36543121324858;10.906678389943576
Goldbraun;BBQ Joint;48.365346;10.906037
H&M;Clothing Store;48.36544;10.9072
Winterland Augsburg;Plaza;48.365741;10.90489
McDonald's;Fast Food Restaurant;48.365880180767896;10.905003349957642
Café am Milchberg;Café;48.36173573481492;10.901396046476016
Zum bayrischen Herzl;Restaurant;48.361686;10.9027772
Cocos;Chinese Restaurant;48.365481057835396;10.907151343931368
NORDSEE;Seafood Restaurant;48.3655966;10.90714543
Elbenwald;Gift Shop;48.3655553;10.9071592
