name;categories;lat;lng
Prinzeneis;Ice Cream Shop;52.48096013696334;13.523426329610075
Syrtaki;Greek Restaurant;52.48108694;13.52379432
Cafe TreBo;Café;52.485808;13.526785
Wernesgrüner B;German Restaurant;52.48661596522711;13.526859653149431
Feinbäckerei Hollschewski;Bakery;52.48280635750813;13.526058197021483
Ristorante Gino;Italian Restaurant;52.48278913699729;13.526202710811752
Rossmann;Drugstore;52.4825049994655;13.5249211511117
denn's Biomarkt;Organic Grocery;52.48245058035885;13.52438853548405
PENNY;Supermarket;52.481981733011104;13.525050239252096
Steakhouse Barbecue;Argentinian Restaurant;52.486614;13.527388
Bäckerei & Café;Bakery;52.48348820350306;13.522525326195023
Wochenmarkt Karlshorst;Farmers Market;52.48217117660992;13.526269919364843
BIO COMPANY Treskowallee;Organic Grocery;52.48120162105152;13.524712851375922
Post I Postbank;Post Office;52.48208614936561;13.527238231557792
H Marksburgstraße;Tram Station;52.48607111116997;13.526601641525374
Steinofenbäckerei & Konditorei VOS;Bakery;52.48693324190945;13.52362735611433
S Karlshorst;Light Rail Station;52.4808722937571;13.526315689086914
Kawi Café & Lunch;Café;52.480404;13.524434
Al Dente;Italian Restaurant;52.48089;13.519863
Il Gattopardo;Italian Restaurant;52.480890624078235;13.519602631747869
by Denni's;Doner Restaurant;52.480122807263506;13.525463238430241
Lila | Dahlback;Bakery;52.48060132228818;13.519045469356856
EDEKA Rheinsteinstraße;Supermarket;52.48276689424347;13.52758795390221
