name;categories;lat;lng
Wochenmarkt Klettenberg;Farmers Market;50.91089879966603;6.926879973645134
Pizza Pasta e basta;Italian Restaurant;50.909908;6.928367
Café Bo;Café;50.91272011101339;6.924345587077706
Sophias;Greek Restaurant;50.914160399389566;6.925958724542891
Cafe 333;Café;50.91148745328325;6.923140573673611
Klettenbergpark;Park;50.909060337878465;6.921804667867244
H Klettenbergpark;Tram Station;50.90805592521947;6.91944585330156
Petersberger Hof;Gastropub;50.91292663054327;6.928111628192289
H Sülzgürtel;Tram Station;50.91172237032037;6.923327494448533
Alpha Bowling;Bowling Alley;50.913374982293334;6.925483116432275
Eiscafé Sagittario;Dessert Shop;50.911232;6.922948
Akif Kiosk;Convenience Store;50.91309602745759;6.928158339416365
