name;categories;lat;lng
Picoteo;Spanish Restaurant;52.49778068926783;13.41287844565713
Landwehrkanal;Canal;52.49529123263923;13.410586685643091
Viasko;Vegetarian / Vegan Restaurant;52.497654734900294;13.412850589573353
Urbanhafen;Waterfront;52.49575847256097;13.407943154743407
Pepita;Gourmet Shop;52.497979;13.413931
Südblock;Bar;52.49857099953235;13.416983485221863
Böcklerpark;Park;52.49670820492938;13.407418727874756
Obermaier Restaurant-Salon;German Restaurant;52.500206;13.4149685
Doyum Grillhaus;Turkish Restaurant;52.498259;13.417375
Konak Izmir Köftecisi;Turkish Restaurant;52.49952077612984;13.416797612046834
Goldmarie;Café;52.49467677113297;13.41556191444397
Il Casolare;Italian Restaurant;52.494947;13.415462
van Loon Restaurantschiff;German Restaurant;52.49582143246863;13.4070826800045
Planufer;Waterfront;52.49492307650726;13.415224444774562
Koyote;Café;52.495678;13.415524
The Bread Station;Bakery;52.495388;13.417892
Nano Kaffee;Coffee Shop;52.50083112028404;13.417041244390662
ORA;Cocktail Bar;52.501403;13.415892
Taka Fish House;Seafood Restaurant;52.49992973763225;13.418096121513056
Burgermeister;Burger Joint;52.499464;13.418647
Babylon;Indie Movie Theater;52.50064513495082;13.417128187942264
Schneidersladen;Music Store;52.499243631116194;13.418799493592871
Sommerbad Kreuzberg | Prinzenbad;Pool;52.49817900304599;13.406295992253497
A.HORN;Café;52.495925;13.405344
Langano;Ethiopian Restaurant;52.49668429344324;13.418557674212384
Lasan;Kurdish Restaurant;52.49984230321145;13.418157674683414
Kimchi Planet;Korean Restaurant;52.497838;13.41346
Kreuzberger Weltlaterne;Greek Restaurant;52.49695561938602;13.417493424194506
ottorink Weinbar;Wine Bar;52.500929202997845;13.416914821894782
Künstlerhaus Bethanien;Art Gallery;52.49714806895603;13.419166704464853
Fräulein Wild;Café;52.50075129781144;13.417138492964684
B-swingt;Dance Studio;52.50180944600324;13.411082364671932
Tadim;Turkish Restaurant;52.49974;13.41771
Leylak;Bakery;52.49819297213971;13.41875748150496
Spielplatz Grimmstraße;Playground;52.49379670249364;13.414379251646649
Kremanski;Café;52.500008111906816;13.417953561576386
Plan Café;Coffee Shop;52.495399;13.417402
Sala7;Italian Restaurant;52.49378150814359;13.413695096969604
Stari Most;Eastern European Restaurant;52.499920465700356;13.417514602640152
Teesaloniki;Tea Room;52.494281;13.416163
Bagels & Kumru;Bagel Shop;52.49995290466084;13.418129684732786
TZOM;African Restaurant;52.49361275394741;13.412532235726932
ÏMA Design Village;Event Space;52.50202852864877;13.4111661803341
Paloma Bar;Bar;52.499179967335856;13.41874623697873
terracruda;Italian Restaurant;52.49492608620635;13.414641908062713
MIRIKA;Gastropub;52.49999266651727;13.407587532743982
Aral;Gas Station;52.50187584;13.409716
Freudenzimmer;Nightclub;52.501792165418486;13.411753982471163
Isabel;Ice Cream Shop;52.49460095203817;13.415509533803004
Backyard;Nightclub;52.49814997547229;13.404746062897209
Harun's Kebab;Kebab Restaurant;52.498582;13.406681
milchmädchen cafe;Coffee Shop;52.494796;13.415575
Café Morgenstern;Café;52.497423678685834;13.416444417279765
Netto Marken-Discount;Supermarket;52.4987005;13.4058271
ritter.;Bistro;52.50127948926996;13.411136874158833
U Prinzenstraße;Metro Station;52.49838971334789;13.406156625905817
Drinks & more;Convenience Store;52.49381555986238;13.415002811387334
