name;categories;lat;lng
City-Grill Nieding;BBQ Joint;51.39138237077131;7.082667650033858
Eiscafé Plückthun;Ice Cream Shop;51.390334327463094;7.0833133531936285
ALDI NORD;Supermarket;51.39338819005783;7.082451368117972
dm-drogerie markt;Drugstore;51.39090504187567;7.082648613830884
Rossmann;Drugstore;51.39183873359077;7.082313895225524
EDEKA Struwe;Supermarket;51.39124951;7.08144687
ADA Döner;Snack Place;51.3902458153617;7.0829738940054305
Lukas kulinarischer Bahnhof;Café;51.393350976766165;7.078550364213528
Stadtbad Kupferdreh;Gym Pool;51.391969776954895;7.085875935487907
Döbbe Bäckereien GmbH & Co. KG;Bakery;51.39227417253065;7.082514940662325
S Essen-Kupferdreh;Light Rail Station;51.39089086330336;7.080252679773949
Spaghetti & Gamberoni;Italian Restaurant;51.38730364936499;7.0842732599938145
Seecafé Petry;Restaurant;51.394186;7.077618
