name;categories;lat;lng
Ajanta;Indian Restaurant;52.4556006306489;13.57699645118271
SuperFit;Gym / Fitness Center;52.45779552128846;13.578670667376048
Burgerb¸ro;Burger Joint;52.4575663;13.57776452
Union-Zeughaus Bahnhofstraﬂe;Sporting Goods Shop;52.45767977775213;13.57884407043457
Restaurant Sandmann;German Restaurant;52.45672854859737;13.58083963394165
dm-drogerie markt;Drugstore;52.45792007446289;13.579035758972168
Rossmann;Drugstore;52.45783079211367;13.578304575871874
H&M;Clothing Store;52.45781093789208;13.578031137476502
TK Maxx;Clothing Store;52.457994076497265;13.578782500574658
C&A;Clothing Store;52.45837752876698;13.576572504964156
H Bahnhofstraﬂe / Seelenbinderstraﬂe;Tram Station;52.45539483188006;13.576869964599608
BackWerk;Bakery;52.45741168679716;13.578547290027927
Mandrellaplatz;Plaza;52.45515794309953;13.579746166356056
Kubrat Hotel a/d Spree;Hotel;52.45174873377948;13.579857194832062
H Bahnhofstraﬂe / Lindenstraﬂe;Tram Station;52.45120274928719;13.572461549134188
REWE;Supermarket;52.457862;13.576878
Better Tasting;Event Service;52.4531329;13.5699799
Eiscafe Lampe;CafÈ;52.45794182403635;13.57774190593927
Spiele Max;Toy / Game Store;52.45795762431472;13.577964305877686
Thalia;Bookstore;52.458082889441535;13.577949925550675
