name;categories;lat;lng
Joseph-Pub;Pub;51.33225459179796;12.335052686601754
Noch Besser Leben;Bar;51.33122470411622;12.33323172238413
Kartoffelfräulein;Snack Place;51.330944955005215;12.331916684909345
Il Buon Gelato;Ice Cream Shop;51.33121586081226;12.332942369234974
dipasquale;Italian Restaurant;51.331356;12.334393
Schaubühne Lindenfels;Indie Movie Theater;51.33172443517365;12.334630529618423
Dr. Seltsam;Bar;51.331123591042044;12.333444399407309
Donkichot;Mediterranean Restaurant;51.33180170078126;12.335055543247378
Kaiserbad;German Restaurant;51.330233479129475;12.33054969274886
Neues Schauspiel;Indie Theater;51.33547614667825;12.334077328196638
Beard Brothers Hot Dogs;Hot Dog Joint;51.33141193764596;12.333783385673092
Casablanca;Moroccan Restaurant;51.331852;12.3361225
Seidels Klosterbäckerei;Bakery;51.33205550907384;12.336051235901126
Brühbar;Coffee Shop;51.331017;12.337832
Café Kater;Café;51.331513;12.338497
süß + salzig;Café;51.33220266055121;12.33268425950122
Zum Wilden Heinz;Café;51.33240200542571;12.333690733223788
Softeisbude;Ice Cream Shop;51.33090926458765;12.331773146763407
meins deins unser;German Restaurant;51.3310911230478;12.336441802362957
olea;Mediterranean Restaurant;51.33662654046121;12.336112709284494
Hotel LindenauINN;Hotel;51.335478;12.338419
Croissanterie;Bakery;51.331378517890364;12.33362023959249
Felsenkeller;Event Space;51.33241477399813;12.338621041019865
Rudi;Bar;51.3328;12.3322
Tapetenwerk;Art Gallery;51.333671729175144;12.326190795408092
PEKAR;Italian Restaurant;51.336647;12.3329115
Café Albert;Café;51.33075346707887;12.330909374587092
La Cantina;Tapas Restaurant;51.33148283280102;12.33404397291448
Fam Tran Phat;Vietnamese Restaurant;51.332325;12.337015
Rossmann;Drugstore;51.3291645936386;12.3348931638884
El-Arabi;Middle Eastern Restaurant;51.33135839118688;12.338139569367994
EDEKA;Supermarket;51.329283;12.3366172
Lindenauer Markt;Plaza;51.33710039819408;12.334308903511442
Kaufland;Big Box Store;51.33687388721504;12.335776923544998
Castello 1;Pizza Place;51.33182;12.335737
Schnizz Leipzig-West;Schnitzel Restaurant;51.335452861952255;12.33673670863406
IDRIS Pizza-Kebab-Pasta-Haus;Falafel Restaurant;51.331823230845316;12.338450851132775
Domino's Pizza;Pizza Place;51.33111154634191;12.337858470385433
Minol Station;Gas Station;51.33536354381564;12.337690595606853
Volle Rolle;Sandwich Place;51.32961275997646;12.337012151325135
