name;categories;lat;lng
Bar Gabányi;Cocktail Bar;48.13274859722122;11.557836436398032
Banyan;Asian Restaurant;48.13189592276314;11.55839394369114
Café Regenbogen;Restaurant;48.13000249492161;11.559379986781437
Royal Filmpalast;Movie Theater;48.130041620604494;11.557895636374484
Lindwurmstüberl;German Restaurant;48.128536295933685;11.556023474206546
Mimmo e Co.;Italian Restaurant;48.127702406913166;11.556616995140281
Gelato Naturale;Ice Cream Shop;48.127825829011016;11.555996442061666
dm-drogerie markt;Drugstore;48.1288106;11.5572518
Tengri Tagh;Xinjiang Restaurant;48.128861437108434;11.558426278165959
coffeemamas;Café;48.1276725189681;11.554465504740499
Café am Beethovenplatz;Café;48.13337729162563;11.558661308547938
A casa di Emi - Weinhaus;Wine Shop;48.134755545942184;11.556045620038095
make falafel not war;Falafel Restaurant;48.12802338109907;11.556382439631653
Mister B's;Jazz Club;48.12873781106373;11.555784156773871
Zum Würstlkönig;Snack Place;48.129852293776274;11.558878194892326
Il Ritrovo;Italian Restaurant;48.12782110653205;11.555631928890643
Hotel Mariandl;Hotel;48.133293;11.558839
Hotel Kraft;Hotel;48.13459601528698;11.560831965722647
Asia Lebensmittel - Imbiss;Grocery Store;48.12994183761466;11.557416155851284
Sultan Backparadies;Bakery;48.13525184698005;11.55858560338085
Sinans Cucina;Italian Restaurant;48.12997098864179;11.557426410015387
Brot & Zeit die Sandwichmacherei;Sandwich Place;48.13558706066786;11.558620562562972
Goetheplatz;Plaza;48.12942859739045;11.558456714271733
St.-Pauls-Platz;Plaza;48.13572442400314;11.552645796448592
Hans im Glück - Burgergrill;Burger Joint;48.130126172176254;11.557854190668877
pureburrito;Burrito Place;48.13023385592118;11.560020277490619
Unopiù;Wine Bar;48.1294777589363;11.558566926493238
Flex;Nightclub;48.12937258703263;11.561476138123046
Bistro Pfundig;German Restaurant;48.1282250504363;11.557498695285135
Frischemarkt Koch;Supermarket;48.12932399686284;11.558646445448831
Wittelsbacher Apotheke;Pharmacy;48.12869359661962;11.556655370971658
Lenz;German Restaurant;48.135263879896904;11.553323784534898
E Caffé;Italian Restaurant;48.12845;11.55842
Pizza Cuccini;Pizza Place;48.12759269454627;11.554358744461855
edo;Vietnamese Restaurant;48.12879547853982;11.55581826305931
Cocoon Sendlinger Tor;Hotel;48.13084832283558;11.561793455547495
Fire Dragon Lounge;Chinese Restaurant;48.13576339771269;11.555881210958876
Tsuki ji;Sushi Restaurant;48.127746240063765;11.556692133532401
Hotel Andra;Hotel;48.13541653730883;11.558484555742538
Grand Café;Mediterranean Restaurant;48.12757576280392;11.554282717408354
Confiserie und Café Kustermann;Café;48.128306157714;11.555853834843363
Alanya Imbiss;Fast Food Restaurant;48.12990558785822;11.559204938406703
Tryp Hotel München;Hotel;48.13608592121671;11.555324991958189
Olé Madrid;Spanish Restaurant;48.127672725627946;11.558452072966029
Pfarrkirche St. Michael;Church;48.13321963946329;11.560860480611007
Asia Sushi & Wok;Asian Restaurant;48.13079532839145;11.56116706512162
