name;categories;lat;lng
EDEKA Center Brehm;Supermarket;52.50573222;13.61451775
Restaurant Herkules II;Greek Restaurant;52.512924760767284;13.612141700787776
McFIT;Gym / Fitness Center;52.505249324371725;13.612178564071655
BackWerk;Bakery;52.51245617;13.61191686
dm-drogerie markt;Cosmetics Shop;52.50647681688105;13.614782698006707
Trattoria La Stalla;Italian Restaurant;52.506012;13.613601
H S Mahlsdorf;Tram Station;52.51113430753542;13.610964682820837
POLO Motorrad Store Berlin Mahlsdorf;Motorcycle Shop;52.505419856043154;13.611980454616514
Gleis 3/4;Platform;52.511986;13.611145
S Mahlsdorf;Light Rail Station;52.51202704850993;13.611248165901992
H Alt-Mahlsdorf;Tram Station;52.50504197981824;13.613369464874266
ROLLER;Furniture / Home Store;52.505216592416375;13.611538327842547
Gleis 1/2;Platform;52.5122;13.611003
kfzteile24;Automotive Shop;52.50498409955987;13.617194105641673
A.T.U Berlin - Alt-Mahlsdorf;Automotive Shop;52.504301;13.614309
