name;categories;lat;lng
Vorhoelzer Forum;Event Space;48.14833025949782;11.567714192451895
Rooftop Bar TU München;Roof Deck;48.148311;11.568174
benko;Café;48.1488;11.56564
Heinrich Matters;Café;48.14931030176174;11.566003327352876
Café im Vorhoelzer Forum;Café;48.14841272862209;11.567786220958007
Frida;Pub;48.14969040247115;11.56480660345666
Alte Pinakothek;Art Museum;48.14823942183238;11.56992075827183
Joon;Café;48.15094;11.565307
Von&Zu;Café;48.14788490114521;11.565157718365803
Staatliches Museum Ägyptischer Kunst;History Museum;48.14726961267973;11.568494201498734
Neue Pinakothek;Art Museum;48.149311;11.571069
Nasca Café;Peruvian Restaurant;48.15076574062385;11.56554679832557
PicNic;Modern European Restaurant;48.149642082665466;11.572369824549304
Ionion;Grilled Meat Restaurant;48.15168271182972;11.564572995369087
Sim Sim;Falafel Restaurant;48.150206;11.563655
Königsplatz;Plaza;48.14650327493638;11.565577983856201
Kushi-Tei of Tokyo;Japanese Restaurant;48.1517431788183;11.570595612621698
Lucaffe089;Café;48.15103913987919;11.564630364042092
Burrito Company;Burrito Place;48.15017990331075;11.563608584254464
Daddy Longlegs;Café;48.149383;11.572296
Café Jasmin;Café;48.14998167331142;11.56360954461916
Lucky Sushi;Asian Restaurant;48.150903945545835;11.564738887086385
Maxvorstadt Wirtshaus;German Restaurant;48.149168481083;11.562619572304035
Pinakothek der Moderne;Art Museum;48.14710902914007;11.572229666976487
Städtische Galerie im Lenbachhaus;Art Museum;48.14676098325046;11.563528776168823
The Munich Readery;Bookstore;48.15316567459167;11.565674248055549
Steinheil 16;German Restaurant;48.14985961872328;11.564046945721179
Glyptothek;History Museum;48.146205006017794;11.565613520577168
Sindbad Döner;Doner Restaurant;48.1509810821234;11.564876855606355
agusto 77;Italian Restaurant;48.15059040891299;11.563817467587622
Osteria Italiana;Trattoria/Osteria;48.151427386202464;11.572119028409002
Bowls & Blenders;Café;48.14757622583565;11.56191861485422
NS-Dokumentationszentrum;History Museum;48.14531493652586;11.56758427619934
Shadow Bean;Café;48.148737;11.562487
Burger House;Burger Joint;48.148625474313285;11.573152363198574
FOX Bar;Bar;48.15157379179224;11.573571444161873
Baresta;Coffee Shop;48.148417377529405;11.562411704817341
Mr. Pancake;Breakfast Spot;48.148814304169385;11.56374623181701
Café Altschwabing;Mediterranean Restaurant;48.15117922513129;11.572747958222624
Eclipse Grillbar;Israeli Restaurant;48.1526966445145;11.563192420612062
Gyoza Bar;Dim Sum Restaurant;48.14859038725169;11.562589855204878
Café Höflinger;Café;48.15109525242235;11.56398378136676
Shiva;Indian Restaurant;48.15220411181876;11.565125388196277
Kino Open Air Am Königsplatz;Movie Theater;48.14575925443348;11.565009193442036
Kims Restaurant;Korean Restaurant;48.151562813879465;11.562754235439263
Cardamom;Lebanese Restaurant;48.14933827746244;11.561451257301234
dm-drogerie markt;Drugstore;48.15002621481111;11.563298284794655
Tafel und Schwafel;Restaurant;48.15069990921494;11.563946986737816
Little Tokyo;Japanese Restaurant;48.14986341774832;11.563440902782803
Paläontologisches Museum;History Museum;48.14801557179841;11.563698305441747
Propyläen;Monument / Landmark;48.14611110852273;11.564214048719478
Tenmaya;Sushi Restaurant;48.15038683004586;11.566694749038385
Getränke Oase;Beer Store;48.1494823663232;11.561347815235026
pureburrito;Burrito Place;48.153305547520866;11.56561411175463
Slurp;Noodle House;48.151922078638556;11.56479257576741
Bobby's Pizza - Bar - Café;Pizza Place;48.14897867967281;11.563157889027476
Cafe Niki;Bakery;48.153399;11.565753
Plaa Uan;Thai Restaurant;48.151426453016576;11.563214331210661
Bistro Harlekin;Bistro;48.15135996426666;11.563606506533688
Rossmann;Drugstore;48.150625160453586;11.563852545454354
Bei Otto;Dive Bar;48.14936698949168;11.561960865563378
REWE;Supermarket;48.15042870459255;11.564033588823122
Goldoni Ristorante;Italian Restaurant;48.147585746558036;11.561953471647678
VollCorner Biomarkt;Organic Grocery;48.14934518587333;11.563040023828759
Caféhaus Griesbeck;Café;48.150570576969834;11.56589697795572
Huong Viet;Vietnamese Restaurant;48.149516290641465;11.565337470104499
Takumi;Ramen Restaurant;48.14927017858022;11.561619243707238
ELLA;Italian Restaurant;48.146443471902415;11.563521112653147
Robert-Koch-Apotheke;Pharmacy;48.151162;11.564164
Campanula;Japanese Restaurant;48.149186433618965;11.561759262382418
Hanoi;Vietnamese Restaurant;48.15331906765454;11.565672256424255
Shakira Bar;Bar;48.151567896469274;11.56274211181408
