name;categories;lat;lng
Lustgarten;Garden;52.518469490131785;13.399454063404399
Radisson Blu;Hotel;52.5195608;13.402857
Kuppelumgang Berliner Dom;Scenic Lookout;52.51896599010725;13.400980681715229
"Bronzestatue ""Heiliger St. Georg im Kampf mit dem Drachen""";Outdoor Sculpture;52.51629022223086;13.405557792008159
Designpanoptikum - surreales Museum für industrielle Objekte;Museum;52.516941;13.406072
The Cathedral Museum;Museum;52.518606;13.400889
Altes Museum;History Museum;52.51953741567019;13.398803472518921
DDR Museum;History Museum;52.51940384308041;13.40223855826597
Nikolaiviertel;Neighborhood;52.51678234501796;13.406453132629395
Deutsches Historisches Museum;History Museum;52.5177881130353;13.39694770969441
Nikolaikirchplatz;Plaza;52.51670039311001;13.406839179328845
Buchhandlung Walther König;Bookstore;52.52130069676686;13.40075831891714
Tigertörtchen;Cupcake Shop;52.51714999915386;13.407926093359984
Neues Museum;History Museum;52.5201576091737;13.39783787727356
Alte Nationalgalerie;Art Museum;52.520796016677;13.398673088379343
Wilde Matilde;German Restaurant;52.517475;13.405384
Schinkel Pavillion;Art Gallery;52.51616321966491;13.396857047689211
Neptunbrunnen;Fountain;52.51953850001971;13.4069248448423
Pierre Boulez Saal;Concert Hall;52.51533292570581;13.396217823028564
Waffel oder Becher;Ice Cream Shop;52.521006850678695;13.403814748185349
Ischtar-Tor;Historic Site;52.520741776446705;13.397204678584995
Museum Ephraim-Palais;Museum;52.515856;13.407191
James-Simon-Galerie;Art Gallery;52.519736335537694;13.397366236749804
Balthazar;Restaurant;52.515913;13.40616
Capri By Fraser Berlin;Hotel;52.513971925223146;13.404901686415545
